pair_id,prompt_id,lambda_cka,alpha,beta,status,proxy_hits,proxy_denominator,free_generation_hits,target_hits,target_denominator,tasr_percent,untargeted_hits,proxy_min_margin,proxy_min_probability,cka_adv_source,cka_adv_reference,reference_cka_gain,source_cka_drop,grad_ml_l1,grad_cka_weighted_l1,grad_component_cosine,elapsed_seconds,error
P20,original,0.3,1.0,0.0,complete,8,8,8,0,8,0.0,2,5.918447971343994,0.9968955516815186,0.14436747133731842,0.38932669162750244,0.13371318578720093,0.8556325435638428,0.006678769830614328,0.00019135381444357336,0.010691497474908829,1453.5640092300018,
P20,original,0.0,1.0,0.0,complete,8,8,8,2,8,25.0,5,9.924525260925293,0.9999505281448364,0.3965591788291931,0.26975196599960327,0.014138460159301758,0.6034408211708069,0.0,0.0,0.0,1395.7579205030052,
P20,original,1.0,0.5,0.0,complete,8,8,8,2,8,25.0,5,5.8528923988342285,0.9968621730804443,0.06134241074323654,0.24915985763072968,-0.006453648209571838,0.9386575818061829,0.006645617075264454,0.0006327033042907715,0.041392065584659576,1427.1973005970067,
P20,original,1.0,2.0,0.0,complete,8,8,8,3,8,37.5,5,5.7954840660095215,0.9957324862480164,0.23595941066741943,0.48406338691711426,0.22844988107681274,0.7640405893325806,0.006679208017885685,0.0006652719457633793,-0.06089600920677185,1425.9244909240224,
P20,original,3.0,1.0,0.0,complete,8,8,8,2,8,25.0,5,4.9590630531311035,0.9918600916862488,0.14176887273788452,0.40193402767181396,0.14632052183151245,0.8582311272621155,0.006740504875779152,0.0019135382026433945,-0.00018475577235221863,1418.3334080769855,
P21,original,0.3,1.0,0.0,complete,8,8,8,0,8,0.0,4,7.493628978729248,0.9994114637374878,0.15542283654212952,0.43854600191116333,0.13197752833366394,0.8445771932601929,0.02272919751703739,1.7257005310966633e-05,0.13407611846923828,759.5790839030233,
P21,original,0.0,1.0,0.0,complete,8,8,8,0,8,0.0,1,21.003210067749023,1.0,0.5609146356582642,0.27163729071617126,-0.034931182861328125,0.43908536434173584,0.0,0.0,0.0,696.5232621710165,
P21,original,1.0,0.5,0.0,complete,8,8,8,0,8,0.0,3,7.505255699157715,0.9987402558326721,0.06924249976873398,0.3155614733695984,0.008992999792098999,0.9307575225830078,0.02270718663930893,5.566147592617199e-05,0.13773545622825623,759.73576159199,
P21,original,1.0,2.0,0.0,complete,8,8,8,0,8,0.0,3,7.424044132232666,0.9993171691894531,0.2526208460330963,0.5327982306480408,0.22622975707054138,0.7473791837692261,0.022719427943229675,6.939659215277061e-05,0.11497274041175842,759.5314746539807,
P21,original,3.0,1.0,0.0,complete,8,8,8,1,8,12.5,2,6.792680740356445,0.9987375140190125,0.14881113171577454,0.4515652060508728,0.1449967324733734,0.8511888980865479,0.022701334208250046,0.0001725551119307056,0.1320885717868805,759.159600103012,
P22,original,0.3,1.0,0.0,complete,8,8,8,0,8,0.0,1,9.687819480895996,0.9999003410339355,0.2180877923965454,0.48611557483673096,0.08578789234161377,0.7819122076034546,0.0,0.0,0.0,1966.4151021520083,
P22,original,0.0,1.0,0.0,complete,8,8,8,0,8,0.0,3,22.7890625,1.0,0.6414476633071899,0.3610198199748993,-0.039307862520217896,0.35855233669281006,0.0,0.0,0.0,1661.063149627007,
P22,original,1.0,0.5,0.0,complete,8,8,8,0,8,0.0,3,8.015278816223145,0.9996539354324341,0.06640641391277313,0.23592239618301392,-0.16440528631210327,0.9335935711860657,0.0,0.0,0.0,1962.1543596220145,
P22,original,1.0,2.0,0.0,complete,8,8,8,0,8,0.0,3,8.014577865600586,0.9995781779289246,0.3580856919288635,0.6018379330635071,0.2015102505683899,0.6419143080711365,0.0,0.0,0.0,1965.109641848976,
P22,original,3.0,1.0,0.0,complete,8,8,8,0,8,0.0,2,6.878356456756592,0.9986279010772705,0.21690034866333008,0.4905153512954712,0.090187668800354,0.7830996513366699,0.0,0.0,0.0,1965.0173537610099,
