pair_id,prompt_id,lambda_cka,effective_lambda_cka,rho,objective,source_weight,alpha,beta,target_cka_mode,target_alignment_temperature,reference_count,status,proxy_hits,proxy_denominator,proxy_hit_mask,proxy_gate_type,proxy_free_check_applicable,free_generation_hits,target_hits,target_denominator,target_hit_mask,target_hits_among_proxy_hits,proxy_hit_target_denominator,tasr_percent,untargeted_hits,asr_percent,proxy_min_margin,proxy_min_probability,cka_adv_source,cka_adv_reference,reference_cka_gain,source_cka_drop,source_repulsion_achieved,target_attraction_achieved,grad_ml_l1,grad_cka_weighted_l1,grad_component_cosine,elapsed_seconds,error
P20,original,1.0,0.2856515347957611,0.03,original_cka_a0.5,1.0,0.5,0.0,spatial_index_legacy,0.07,8,complete,0,8,"[False, False, False, False, False, False, False, False]",generative_strict,True,6,,,,,,,,,-1.625,0.13203346729278564,0.4194137156009674,0.25573912262916565,-0.004585832357406616,0.580586314201355,True,False,0.012486127205193043,0.0003745838184840977,0.0879446342587471,174.52274659002433,
P20,original,1.0,0.953715980052948,0.1,original_cka_a0.5,1.0,0.5,0.0,spatial_index_legacy,0.07,8,complete,0,8,"[False, False, False, False, False, False, False, False]",generative_strict,True,6,,,,,,,,,-1.523197054862976,0.0395885594189167,0.40629756450653076,0.24505606293678284,-0.015268892049789429,0.5937024354934692,True,False,0.012506376951932907,0.0012506375787779689,0.0882280170917511,162.90533048199723,
P20,original,1.0,2.86313533782959,0.3,original_cka_a0.5,1.0,0.5,0.0,spatial_index_legacy,0.07,8,complete,1,8,"[False, False, False, False, False, False, False, True]",generative_strict,True,6,,,,,,,,,-0.8749998807907104,0.10108567774295807,0.3588857650756836,0.24992258846759796,-0.010402366518974304,0.6411142349243164,True,False,0.012515063397586346,0.00375451915897429,0.08927766233682632,162.987144291983,
P20,original,1.0,9.606231689453125,1.0,original_cka_a0.5,1.0,0.5,0.0,spatial_index_legacy,0.07,8,complete,1,8,"[False, False, False, False, False, False, False, True]",generative_strict,True,6,,,,,,,,,-2.75,0.0538952574133873,0.24862250685691833,0.2325894683599472,-0.02773548662662506,0.7513774633407593,True,False,0.01259695366024971,0.012596952728927135,0.08486897498369217,164.12366214499343,
P20,original,1.0,0.3191985487937927,0.03,original_cka_a1,1.0,1.0,0.0,spatial_index_legacy,0.07,8,complete,0,8,"[False, False, False, False, False, False, False, False]",generative_strict,True,6,,,,,,,,,-1.1250001192092896,0.09293530881404877,0.45374566316604614,0.25595998764038086,-0.004364967346191406,0.5462543368339539,True,False,0.01262497715651989,0.0003787493333220482,0.07928146421909332,164.98934067797381,
P20,original,1.0,1.0600930452346802,0.1,original_cka_a1,1.0,1.0,0.0,spatial_index_legacy,0.07,8,complete,0,8,"[False, False, False, False, False, False, False, False]",generative_strict,True,6,,,,,,,,,-1.125,0.0690436139702797,0.41957080364227295,0.2616056203842163,0.001280665397644043,0.580429196357727,True,True,0.012578676454722881,0.0012578675523400307,0.07637766748666763,162.91264860198135,
P20,original,1.0,3.1744654178619385,0.3,original_cka_a1,1.0,1.0,0.0,spatial_index_legacy,0.07,8,complete,0,8,"[False, False, False, False, False, False, False, False]",generative_strict,True,6,,,,,,,,,-1.5649333000183105,0.04374871775507927,0.34487923979759216,0.26492342352867126,0.004598468542098999,0.6551207304000854,True,True,0.01255568116903305,0.003766704583540559,0.08162866532802582,163.17164333700202,
P20,original,1.0,10.567232131958008,1.0,original_cka_a1,1.0,1.0,0.0,spatial_index_legacy,0.07,8,complete,1,8,"[False, False, False, False, False, False, False, True]",generative_strict,True,5,,,,,,,,,-2.0,0.030094875022768974,0.2593001127243042,0.25177744030952454,-0.00854751467704773,0.7406998872756958,True,False,0.01253869105130434,0.01253869105130434,0.07505191117525101,164.13598171895137,
P20,original,1.0,0.3967473804950714,0.03,original_cka_a2,1.0,2.0,0.0,spatial_index_legacy,0.07,8,complete,0,8,"[False, False, False, False, False, False, False, False]",generative_strict,True,7,,,,,,,,,-0.4288874864578247,0.11205347627401352,0.4436972439289093,0.2591591477394104,-0.0011658072471618652,0.5563027858734131,True,False,0.012506059370934963,0.00037518178578466177,0.03812725096940994,164.32516699802363,
P20,original,1.0,1.3268846273422241,0.1,original_cka_a2,1.0,2.0,0.0,spatial_index_legacy,0.07,8,complete,0,8,"[False, False, False, False, False, False, False, False]",generative_strict,True,6,,,,,,,,,-1.25,0.09432195127010345,0.3853122591972351,0.2629814147949219,0.0026564598083496094,0.6146877408027649,True,True,0.01254760380834341,0.0012547605438157916,0.03732915595173836,163.13885217299685,
P20,original,1.0,3.9836058616638184,0.3,original_cka_a2,1.0,2.0,0.0,spatial_index_legacy,0.07,8,complete,0,8,"[False, False, False, False, False, False, False, False]",generative_strict,True,6,,,,,,,,,-1.875,0.07587667554616928,0.3591846823692322,0.2793135941028595,0.01898863911628723,0.6408153176307678,True,True,0.012556909583508968,0.003767073154449463,0.03546851873397827,163.45018951495877,
P20,original,1.0,13.240680694580078,1.0,original_cka_a2,1.0,2.0,0.0,spatial_index_legacy,0.07,8,complete,0,8,"[False, False, False, False, False, False, False, False]",generative_strict,True,5,,,,,,,,,-3.625,0.023744093254208565,0.29649895429611206,0.2916589081287384,0.03133395314216614,0.7035010457038879,True,True,0.012520969845354557,0.012520970776677132,0.03794052451848984,164.34044528799132,
P20,original,1.0,0.5499820709228516,0.03,original_cka_a4,1.0,4.0,0.0,spatial_index_legacy,0.07,8,complete,0,8,"[False, False, False, False, False, False, False, False]",generative_strict,True,5,,,,,,,,,-1.25,0.07414061576128006,0.4397802948951721,0.26985228061676025,0.009527325630187988,0.5602197051048279,True,True,0.012541064992547035,0.00037623196840286255,-0.29641449451446533,164.44974867301062,
P20,original,1.0,1.838151216506958,0.1,original_cka_a4,1.0,4.0,0.0,spatial_index_legacy,0.07,8,complete,0,8,"[False, False, False, False, False, False, False, False]",generative_strict,True,6,,,,,,,,,-1.625,0.07120878249406815,0.38300085067749023,0.27659252285957336,0.0162675678730011,0.6169991493225098,True,True,0.01257443055510521,0.0012574432184919715,-0.2948532998561859,162.89653165999334,
