pair_id,image_id,query_kind,local_cka,local_null_mean,local_null_std,local_cka_excess,local_cka_normalized,local_z_score,local_empirical_p_value,local_null_exceedance_count,local_permutations_evaluated,query_in_calibration,excluded_calibration_indices,neighbor_indices
P02,val/n03930630/ILSVRC2012_val_00015879.JPEG,clean,0.9487848281860352,0.7645746517181397,0.04364004610847398,0.1842101764678955,0.7824568501746547,4.221126989875608,0.000999000999000999,0,1000,0,,17|19|39|18|35|24|37|20
P02,val/n03930630/ILSVRC2012_val_00035897.JPEG,clean,0.9487848281860352,0.7626282323002815,0.04569794858250987,0.18615659588575362,0.784240677354885,4.073631348016396,0.000999000999000999,0,1000,0,,39|19|35|20|17|37|24|18
P02,val/n03930630/ILSVRC2012_val_00026503.JPEG,clean,0.9475430846214294,0.7455986327528954,0.04950517530858897,0.20194445186853405,0.7938025414477501,4.079259402874944,0.000999000999000999,0,1000,0,,35|20|37|39|19|28|17|11
P02,val/n03930630/ILSVRC2012_val_00025354.JPEG,clean,0.9323640465736389,0.6733050236701965,0.06585316162279932,0.2590590229034424,0.7929691047404366,3.933888920737139,0.000999000999000999,0,1000,0,,35|39|37|17|38|19|8|18
P02,val/n03930630/ILSVRC2012_val_00039508.JPEG,clean,0.9483808279037476,0.7507093793153763,0.04475556864864907,0.19767144858837127,0.7929357632690257,4.4166894658445575,0.000999000999000999,0,1000,0,,37|35|39|19|17|20|8|28
P02,val/n03930630/ILSVRC2012_val_00037136.JPEG,clean,0.9468322396278381,0.8140274187326432,0.037075042142336714,0.13280482089519496,0.7141096821378893,3.582054482509746,0.000999000999000999,0,1000,0,,35|37|8|38|39|28|18|22
P02,val/n03930630/ILSVRC2012_val_00049612.JPEG,clean,0.9600126147270203,0.8083762561678887,0.0369454377176739,0.1516363585591316,0.7913234316723602,4.104332440662682,0.000999000999000999,0,1000,0,,39|37|35|8|15|38|18|48
P02,val/n03930630/ILSVRC2012_val_00010012.JPEG,clean,0.9487848281860352,0.7655768654942513,0.04411518006182237,0.18320796269178385,0.7815268022844866,4.152946047937215,0.000999000999000999,0,1000,0,,35|37|39|19|20|17|18|24
P06,val/n03930630/ILSVRC2012_val_00015879.JPEG,clean,0.9026134014129639,0.6484003511667251,0.06659355423792618,0.25421305024623875,0.7230184987095482,3.8173822249820692,0.001998001998001998,1,1000,0,,35|17|39|11|19|38|18|37
P06,val/n03930630/ILSVRC2012_val_00035897.JPEG,clean,0.8500885367393494,0.5766611050367355,0.08070681111345802,0.27342743170261385,0.6458830855273544,3.3879102386814446,0.003996003996003996,3,1000,0,,35|17|39|8|37|18|38|19
