pair_id,prompt_id,objective,lambda_cka,source_cka_weight,target_cka_weight_alpha,semantic_target_weight,seed,steps,batch_size,reference_bank_size,epsilon_linf,step_size,momentum,proxy_hits,proxy_denominator,free_generation_hits,target_hits,target_denominator,tasr_percent,untargeted_hits,asr_percent,proxy_min_margin,proxy_min_probability,cka_adv_source,cka_adv_reference,reference_cka_gain,source_cka_drop,grad_ml_l1,grad_cka_weighted_l1,grad_component_cosine,elapsed_seconds,status
P02,original,token_contrastive_cka,0.5,1.0,1.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,0,0.0,3.7238943576812744,0.9584835767745972,0.08137430250644684,0.11145675182342529,-0.025905638933181763,0.9186257123947144,0.011068930849432945,0.00018342171097174287,-0.20674045383930206,574.4429080799891,complete
P02,original,token_contrastive_cka,0.5,1.0,4.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,2,25.0,3.766920328140259,0.9516621828079224,0.22263139486312866,0.18895748257637024,0.051595091819763184,0.7773686051368713,0.011039843782782555,0.00022553274175152183,-0.29393017292022705,460.21456477699394,complete
P02,original,token_contrastive_cka,3.0,1.0,1.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,2,25.0,3.6665213108062744,0.9624482989311218,0.05368220433592796,0.12122984975576401,-0.016132541000843048,0.9463177919387817,0.011094038374722004,0.0011005301494151354,-0.20512881875038147,517.4282152149972,complete
P02,original,token_contrastive_cka,3.0,1.0,4.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,3,37.5,3.4501452445983887,0.9537050127983093,0.27284908294677734,0.2542438507080078,0.11688145995140076,0.7271509170532227,0.011120935901999474,0.0013531965669244528,-0.29421544075012207,469.5043341690034,complete
P06,original,token_contrastive_cka,0.5,1.0,1.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,0,0.0,4.843906402587891,0.9818320274353027,0.034359127283096313,0.039562568068504333,0.0054635703563690186,0.9656409025192261,0.011839830316603184,0.00029695124248974025,-0.02952955663204193,7.981755322005483,complete
P06,original,token_contrastive_cka,0.5,1.0,4.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,0,0.0,5.37394905090332,0.985371470451355,0.04431377723813057,0.03708526864647865,0.002986270934343338,0.9556862115859985,0.011839836835861206,0.0003207104455213994,-0.04032107815146446,8.067032015998848,complete
P06,original,token_contrastive_cka,3.0,1.0,1.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,0,0.0,5.523826599121094,0.988289475440979,0.038170263171195984,0.039386339485645294,0.005287341773509979,0.9618297219276428,0.01183983962982893,0.0017817075131461024,-0.029529161751270294,8.123785592004424,complete
P06,original,token_contrastive_cka,3.0,1.0,4.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,0,0.0,4.4451751708984375,0.9627529382705688,0.03996674716472626,0.048454172909259796,0.014355175197124481,0.9600332379341125,0.011839842423796654,0.0019242624985054135,-0.04031999781727791,8.164290656990488,complete
P11,original,token_contrastive_cka,0.5,1.0,1.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,0,0.0,4.672829627990723,0.9542751312255859,0.292236328125,0.15183189511299133,-0.004862457513809204,0.707763671875,0.0,0.0,0.0,141.32147629400424,complete
P11,original,token_contrastive_cka,0.5,1.0,4.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,0,0.0,4.466316223144531,0.950370192527771,0.3631124496459961,0.1924305558204651,0.03573620319366455,0.6368875503540039,0.0,0.0,0.0,128.2443973160116,complete
P11,original,token_contrastive_cka,3.0,1.0,1.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,0,0.0,4.610166549682617,0.950637936592102,0.19810357689857483,0.14337918162345886,-0.013315171003341675,0.8018964529037476,0.0,0.0,0.0,151.2067997700069,complete
P11,original,token_contrastive_cka,3.0,1.0,4.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,0,0.0,4.7389020919799805,0.9507091641426086,0.2744467854499817,0.30666106939315796,0.14996671676635742,0.7255532145500183,0.0,0.0,0.0,376.83193071599817,complete
