pair_id,loss,step,grad_cls_rep_cosine,target_token_finite,target_token_l2_norm,target_token_max_abs,target_token_mean_abs,target_token_rms,target_token_zero_fraction,closedset_ce_finite,closedset_ce_l2_norm,closedset_ce_max_abs,closedset_ce_mean_abs,closedset_ce_rms,closedset_ce_zero_fraction,margin_finite,margin_l2_norm,margin_max_abs,margin_mean_abs,margin_rms,margin_zero_fraction,cls_total_finite,cls_total_l2_norm,cls_total_max_abs,cls_total_mean_abs,cls_total_rms,cls_total_zero_fraction,representation_finite,representation_l2_norm,representation_max_abs,representation_mean_abs,representation_rms,representation_zero_fraction
P20,cls_plus_contrastive,0,0.09553578495979309,True,26.087427139282227,1.9040414094924927,0.004938121419399977,0.023772649466991425,0.0,True,26.17345428466797,1.8887708187103271,0.004945114254951477,0.023851044476032257,0.0,True,52.63337707519531,3.9408297538757324,0.009934748522937298,0.04796313866972923,0.0,True,77.84626770019531,5.6903157234191895,0.014760317280888557,0.0709388479590416,0.0,True,1.8777525424957275,0.20422615110874176,0.00025924324290826917,0.0017111367778852582,0.0
P20,cls_plus_contrastive,25,0.06016916781663895,True,0.1704215407371521,0.018636375665664673,4.928927592118271e-05,0.00015529977099504322,0.0,True,0.17226850986480713,0.018833687528967857,4.9397018301533535e-05,0.00015698287461418658,0.0,True,0.07365962117910385,0.007011017296463251,1.697742482065223e-05,6.712369213346392e-05,0.0,True,0.24674801528453827,0.026736287400126457,6.59320066915825e-05,0.00022485369117930532,0.0,True,0.023224905133247375,0.00159997318405658,1.1453565093688667e-05,2.1164123609196395e-05,0.0
P20,cls_plus_contrastive,50,0.08088619261980057,True,0.0197882242500782,0.0006197289330884814,1.0320697583665606e-05,1.8032385924016126e-05,0.0,True,0.019687386229634285,0.0006123459315858781,1.0273880434397142e-05,1.7940494217327796e-05,0.0,True,0.0011067534796893597,3.6671954148914665e-05,5.328281531546963e-07,1.0085494750455837e-06,0.0,True,0.020642051473259926,0.0006462335004471242,1.0746137377282139e-05,1.881045136542525e-05,0.0,True,0.009416758082807064,0.0003143662470392883,4.9428572310716845e-06,8.581195288570598e-06,0.0
P20,cls_plus_contrastive,99,0.11153478175401688,True,0.01596948318183422,0.0005425246199592948,7.819669008313213e-06,1.4552487300534267e-05,0.0,True,0.015916733071208,0.0005422992398962379,7.776464372000191e-06,1.4504417777061462e-05,0.0,True,0.0002773492014966905,1.083185816241894e-05,1.1396340937608329e-07,2.5273959636251675e-07,0.0,True,0.016126900911331177,0.0005503545398823917,7.875631126808003e-06,1.46959364428767e-05,0.0,True,0.010049768723547459,0.00024056223628576845,5.344484634406399e-06,9.158037755696569e-06,0.0
P21,cls_plus_contrastive,0,0.07579744607210159,True,17.208465576171875,2.1179075241088867,0.00552679318934679,0.01568153128027916,0.0,True,17.14129066467285,2.0931050777435303,0.0055239261128008366,0.015620318241417408,0.0,True,34.713069915771484,4.2458672523498535,0.01116766408085823,0.0316329263150692,0.0,True,52.024513244628906,6.34356689453125,0.016711004078388214,0.047408297657966614,0.0,True,0.36861902475357056,0.016435418277978897,0.00018880696734413505,0.0003359109105076641,0.0
P21,cls_plus_contrastive,25,-0.06191977486014366,True,0.0054555414244532585,0.00044650412746705115,1.5247368310156162e-06,4.9714631131791975e-06,0.0,True,0.005491822026669979,0.00044213602086529136,1.5309958598663798e-06,5.004524609830696e-06,0.0,True,0.00020669277000706643,1.693381454970222e-05,5.078465648011843e-08,1.8835260107152862e-07,0.0,True,0.005705534480512142,0.0004729760985355824,1.5821142369532026e-06,5.1992738008266315e-06,0.0,True,0.004010047297924757,0.00044836316374130547,1.8373409602645552e-06,3.6542296584229916e-06,0.0
P21,cls_plus_contrastive,50,0.04747360944747925,True,0.000772195344325155,7.388315862044692e-05,2.7868892971127934e-07,7.036773013169295e-07,0.0,True,0.0007693576044403017,7.353333057835698e-05,2.7840727057082404e-07,7.010913236626948e-07,0.0,True,2.3385921394947218e-06,2.1530220806198486e-07,6.656118434200664e-10,2.1310855302658638e-09,0.0,True,0.0007762497989460826,7.46753576095216e-05,2.797595186621038e-07,7.073719530126255e-07,0.0,True,0.0023470481391996145,0.0001600298855919391,9.81699486146681e-07,2.1387909328041133e-06,0.0
P21,cls_plus_contrastive,99,-0.0020269397646188736,True,0.0004560041707009077,1.8383347196504474e-05,1.971832688241193e-07,4.155422459461988e-07,0.0,True,0.00045744897215627134,1.848872307164129e-05,1.9790330441082915e-07,4.168588247921434e-07,0.0,True,6.845017992418434e-07,3.4793735892435507e-08,2.2741823701988295e-10,6.237648730866852e-10,0.0,True,0.0004578402731567621,1.8477661797078326e-05,1.980545931701272e-07,4.172154319803667e-07,0.0,True,0.0025104423984885216,0.00014135036326479167,1.1378864428479574e-06,2.2876870389154647e-06,0.0
P22,cls_plus_contrastive,0,-0.0066572194918990135,True,26.03481674194336,2.8118810653686523,0.007859040051698685,0.023724708706140518,0.0,True,25.828689575195312,2.7661077976226807,0.007822895422577858,0.023536870256066322,0.0,True,50.83649826049805,5.411129474639893,0.015478073619306087,0.046325698494911194,0.0,True,76.79196166992188,8.175060272216797,0.023299479857087135,0.06997808814048767,0.0,True,0.012279530055820942,0.002315059769898653,5.223559128353372e-06,1.1189948963874485e-05,0.0
P22,cls_plus_contrastive,25,-0.012750810943543911,True,2.1115493774414062,0.23434002697467804,0.0003645336255431175,0.0019241884583607316,0.0,True,2.1148526668548584,0.2292710542678833,0.0003653930907603353,0.0019271986093372107,0.0,True,11.426898956298828,1.2457804679870605,0.001910644699819386,0.0104129733517766,0.0,True,13.544740676879883,1.4944260120391846,0.00227857893332839,0.01234289538115263,0.0,True,0.01108087133616209,0.0007392328698188066,5.695515028492082e-06,1.0097648555529304e-05,0.0
P22,cls_plus_contrastive,50,-0.04419657588005066,True,1.3738017082214355,0.11745204031467438,0.00031345675233751535,0.0012519021984189749,0.0,True,1.3749656677246094,0.11820637434720993,0.0003132452839054167,0.001252962974831462,0.0,True,4.364458084106445,0.3778213560581207,0.0007848656387068331,0.003977193031460047,0.0,True,5.724437236785889,0.49334973096847534,0.0010993264149874449,0.005216499324887991,0.0,True,0.022807076573371887,0.0026585026644170284,9.296872121922206e-06,2.0783370928256772e-05,0.0
