pair_id,loss,cls_loss_mode,semantic_mode,tau,representation_type,vision_layer,pooling,lambda_cls,lambda_sem_requested,lambda_sem_effective,proxy_hits,proxy_denominator,tasr_hits,tasr_denominator,asr_hits,target_similarity_clean,target_similarity_adv,target_gain,source_similarity_clean,source_similarity_adv,source_drop,semantic_gap_clean,semantic_gap_adv,semantic_gap_gain,grad_cls_mean_abs,grad_rep_weighted_mean_abs,grad_cls_rep_cosine,elapsed_seconds,peak_vram_gb,seed,steps,source_reference_count,target_reference_count
P20,cls_only,ce_margin,target_only,0.1,vision_encoder,17,mean,1.0,0.0,0.0,8,8,2,8,6,0.8231576681137085,0.8060636520385742,-0.017094016075134277,,,,,,,0.0,0.0,0.0,687.407265669,12.10918140411377,42,100,48,48
P20,cls_plus_contrastive,ce_margin,prototype,0.1,vision_encoder,17,mean,1.0,1.0,17.13430404663086,8,8,4,8,7,0.8231576681137085,0.42736148834228516,-0.39579617977142334,0.896681547164917,0.11706266552209854,0.7796188816428185,-0.07352384924888611,0.3102988600730896,0.3838227093219757,0.014806507155299187,0.004441952798515558,0.07509054243564606,796.036369896,12.98872423171997,42,100,48,48
P20,cls_plus_semantic,ce_margin,target_only,0.1,vision_encoder,17,mean,1.0,1.0,66.57212829589844,8,8,1,8,5,0.8231576681137085,0.99741131067276,0.1742536425590515,,,,,,,0.014878194779157639,0.0044634584337472916,0.10907889157533646,716.1619341799997,12.118988990783691,42,100,48,48
P20,contrastive_only,none,prototype,0.1,vision_encoder,17,mean,0.0,1.0,1.0,8,8,0,8,5,0.8231576681137085,0.394862562417984,-0.4282951056957245,0.896681547164917,0.07413408160209656,0.8225474655628204,-0.07352384924888611,0.32072848081588745,0.39425233006477356,0.0,0.00025924324290826917,0.0,714.0649188749994,12.975728988647461,42,100,48,48
P20,mean_reference_only,none,mean_reference,0.1,vision_encoder,17,mean,0.0,1.0,1.0,8,8,0,8,4,0.7227190732955933,0.3284482955932617,-0.39427077770233154,0.7956037521362305,0.04748387634754181,0.7481198757886887,-0.07288472354412079,0.2809644341468811,0.3538491725921631,0.0,0.00022949310368858278,0.0,714.9250478470003,12.97608757019043,42,100,48,48
P20,semantic_only,none,target_only,0.1,vision_encoder,17,mean,0.0,1.0,1.0,5,8,2,8,5,0.8231576681137085,0.998340368270874,0.17518270015716553,,,,,,,0.0,6.704695260850713e-05,0.0,714.4843155909998,12.97572374343872,42,100,48,48
P21,cls_only,ce_margin,target_only,0.1,vision_encoder,17,mean,1.0,0.0,0.0,8,8,0,8,4,0.7625637054443359,0.7664302587509155,0.00386655330657959,,,,,,,0.0,0.0,0.0,348.8651326089994,7.66039514541626,42,100,48,48
P21,cls_plus_contrastive,ce_margin,prototype,0.1,vision_encoder,17,mean,1.0,1.0,26.516427993774414,8,8,1,8,6,0.7625637054443359,0.41549164056777954,-0.3470720648765564,0.8720260858535767,-0.02037360519170761,0.8923996910452843,-0.10946238785982132,0.43586528301239014,0.5453276634216309,0.01668829843401909,0.005006489809602499,0.09761624038219452,438.93539735599916,7.689563274383545,42,100,48,48
P21,cls_plus_semantic,ce_margin,target_only,0.1,vision_encoder,17,mean,1.0,1.0,193.3022918701172,8,8,0,8,4,0.7625637054443359,0.9998762011528015,0.23731249570846558,,,,,,,0.016660427674651146,0.004998128395527601,0.025163942947983742,398.3284033359996,7.680546283721924,42,100,48,48
P21,contrastive_only,none,prototype,0.1,vision_encoder,17,mean,0.0,1.0,1.0,8,8,0,8,4,0.7625637054443359,0.4052685797214508,-0.35729512572288513,0.8720260858535767,-0.034165769815444946,0.9061918556690216,-0.10946238785982132,0.43943434953689575,0.5488967299461365,0.0,0.00018880127754528075,0.0,391.8040130369991,7.680552005767822,42,100,48,48
