pair_id,exp_type,proxy_model,target_model,source_human_label,target_human_label,proxy_revision,target_revision,proxy_tap_status,proxy_tap_path,phase,batch_id,source_image_ids,target_reference_ids,lambda,effective_lambda,gradient_ratio,cka_source_weight,cka_target_weight,semantic_target_weight,seed,steps,clean_valid_count,targeted_hit_count,tasr_percent,untargeted_hit_count,asr_percent,proxy_target_nll,proxy_target_probability,proxy_target_hit_count,proxy_target_hit_denominator,proxy_target_all_hit,proxy_target_hit_mask,proxy_min_target_logit_margin,proxy_min_target_probability,proxy_free_target_hit_count,proxy_max_other_probability,proxy_target_probability_margin,proxy_classification_ce,proxy_margin_loss,loss_cka,loss_total,cka_clean_reference,cka_adv_source,cka_adv_reference,reference_cka_gain,source_cka_drop,proxy_representation_shift,grad_ml_l1,grad_cka_weighted_l1,grad_component_cosine,linf_float,linf_png,elapsed_seconds,peak_allocated_vram_gb,peak_reserved_vram_gb,status,failure_reason
P19,Intra-Family,google/gemma-4-E2B-it,google/gemma-4-E4B-it,8,7,3e22461f65e89153144f8adb70e3b8c2cc9845a7,ee0ef6023621cff504d758262d4e04895a5af4a2,validated,model.embed_vision,scale_50,00,train/n03930630/n03930630_13536.JPEG|train/n03930630/n03930630_1267.JPEG|train/n03930630/n03930630_19053.JPEG|train/n03930630/n03930630_13397.JPEG|train/n03930630/n03930630_3234.JPEG|train/n03930630/n03930630_5166.JPEG|train/n03930630/n03930630_884.JPEG|train/n03930630/n03930630_9548.JPEG,train/n03417042/n03417042_10046.JPEG|train/n03417042/n03417042_3868.JPEG|train/n03417042/n03417042_1031.JPEG|train/n03417042/n03417042_2103.JPEG|train/n03417042/n03417042_6187.JPEG|train/n03417042/n03417042_5236.JPEG|train/n03417042/n03417042_11994.JPEG|train/n03417042/n03417042_10754.JPEG|train/n03417042/n03417042_2667.JPEG|train/n03417042/n03417042_1258.JPEG|train/n03417042/n03417042_6228.JPEG|train/n03417042/n03417042_5505.JPEG|train/n03417042/n03417042_11027.JPEG|train/n03417042/n03417042_5665.JPEG|train/n03417042/n03417042_995.JPEG|train/n03417042/n03417042_6884.JPEG|train/n03417042/n03417042_4138.JPEG|train/n03417042/n03417042_3039.JPEG|train/n03417042/n03417042_7633.JPEG|train/n03417042/n03417042_1036.JPEG|train/n03417042/n03417042_5604.JPEG|train/n03417042/n03417042_2025.JPEG|train/n03417042/n03417042_10073.JPEG|train/n03417042/n03417042_55.JPEG|train/n03417042/n03417042_8579.JPEG|train/n03417042/n03417042_321.JPEG|train/n03417042/n03417042_3287.JPEG|train/n03417042/n03417042_6558.JPEG|train/n03417042/n03417042_3829.JPEG|train/n03417042/n03417042_3158.JPEG|train/n03417042/n03417042_2137.JPEG|train/n03417042/n03417042_10985.JPEG|train/n03417042/n03417042_5638.JPEG|train/n03417042/n03417042_4876.JPEG|train/n03417042/n03417042_2383.JPEG|train/n03417042/n03417042_5533.JPEG|train/n03417042/n03417042_9238.JPEG|train/n03417042/n03417042_11166.JPEG|train/n03417042/n03417042_9935.JPEG|train/n03417042/n03417042_5631.JPEG|train/n03417042/n03417042_10108.JPEG|train/n03417042/n03417042_11944.JPEG|train/n03417042/n03417042_4728.JPEG|train/n03417042/n03417042_7021.JPEG|train/n03417042/n03417042_7049.JPEG|train/n03417042/n03417042_3916.JPEG|train/n03417042/n03417042_10066.JPEG|train/n03417042/n03417042_4574.JPEG,1.0,442.55755615234375,0.3,0.0,0.0,1.0,42,100,8,2,25.0,3,37.5,4.67894733446883e-06,0.9988865852355957,8,8,True,1|1|1|1|1|1|1|1,6.265859603881836,0.9980908036231995,8,0.0011087649036198854,0.9977778196334839,0.0011141106951981783,7.630874461028725e-05,0.0006527528166770935,0.29007112979888916,0.3792991042137146,0.583873987197876,0.3369276523590088,-0.04237145185470581,0.416126012802124,0.3737545609474182,0.034418486058712006,0.010325545445084572,-0.013141619972884655,0.0627451092004776,0.0627451241016388,1708.9437916780007,11.301661491394043,11.412109375,ok,
P19,Intra-Family,google/gemma-4-E2B-it,google/gemma-4-E4B-it,8,7,3e22461f65e89153144f8adb70e3b8c2cc9845a7,ee0ef6023621cff504d758262d4e04895a5af4a2,validated,model.embed_vision,scale_50,01,train/n03930630/n03930630_2245.JPEG|train/n03930630/n03930630_5214.JPEG|train/n03930630/n03930630_5162.JPEG|train/n03930630/n03930630_11039.JPEG|train/n03930630/n03930630_4403.JPEG|train/n03930630/n03930630_45.JPEG|train/n03930630/n03930630_5014.JPEG|train/n03930630/n03930630_1936.JPEG,train/n03417042/n03417042_10046.JPEG|train/n03417042/n03417042_3868.JPEG|train/n03417042/n03417042_1031.JPEG|train/n03417042/n03417042_2103.JPEG|train/n03417042/n03417042_6187.JPEG|train/n03417042/n03417042_5236.JPEG|train/n03417042/n03417042_11994.JPEG|train/n03417042/n03417042_10754.JPEG|train/n03417042/n03417042_2667.JPEG|train/n03417042/n03417042_1258.JPEG|train/n03417042/n03417042_6228.JPEG|train/n03417042/n03417042_5505.JPEG|train/n03417042/n03417042_11027.JPEG|train/n03417042/n03417042_5665.JPEG|train/n03417042/n03417042_995.JPEG|train/n03417042/n03417042_6884.JPEG|train/n03417042/n03417042_4138.JPEG|train/n03417042/n03417042_3039.JPEG|train/n03417042/n03417042_7633.JPEG|train/n03417042/n03417042_1036.JPEG|train/n03417042/n03417042_5604.JPEG|train/n03417042/n03417042_2025.JPEG|train/n03417042/n03417042_10073.JPEG|train/n03417042/n03417042_55.JPEG|train/n03417042/n03417042_8579.JPEG|train/n03417042/n03417042_321.JPEG|train/n03417042/n03417042_3287.JPEG|train/n03417042/n03417042_6558.JPEG|train/n03417042/n03417042_3829.JPEG|train/n03417042/n03417042_3158.JPEG|train/n03417042/n03417042_2137.JPEG|train/n03417042/n03417042_10985.JPEG|train/n03417042/n03417042_5638.JPEG|train/n03417042/n03417042_4876.JPEG|train/n03417042/n03417042_2383.JPEG|train/n03417042/n03417042_5533.JPEG|train/n03417042/n03417042_9238.JPEG|train/n03417042/n03417042_11166.JPEG|train/n03417042/n03417042_9935.JPEG|train/n03417042/n03417042_5631.JPEG|train/n03417042/n03417042_10108.JPEG|train/n03417042/n03417042_11944.JPEG|train/n03417042/n03417042_4728.JPEG|train/n03417042/n03417042_7021.JPEG|train/n03417042/n03417042_7049.JPEG|train/n03417042/n03417042_3916.JPEG|train/n03417042/n03417042_10066.JPEG|train/n03417042/n03417042_4574.JPEG,1.0,1009.127685546875,0.3,0.0,0.0,1.0,43,100,8,2,25.0,3,37.5,1.0400947758171242e-05,0.998223066329956,8,8,True,1|1|1|1|1|1|1|1,6.031367778778076,0.9975861310958862,8,0.0017666444182395935,0.9964564442634583,0.0017785759409889579,0.00017832813318818808,0.00034342706203460693,0.3485186696052551,0.3795192241668701,0.5864436626434326,0.33665013313293457,-0.04286909103393555,0.4135563373565674,0.37068724632263184,0.0828346535563469,0.024850396439433098,-0.05551605299115181,0.0627451092004776,0.0627451241016388,1708.8140765950084,11.301661491394043,11.423828125,ok,
P19,Intra-Family,google/gemma-4-E2B-it,google/gemma-4-E4B-it,8,7,3e22461f65e89153144f8adb70e3b8c2cc9845a7,ee0ef6023621cff504d758262d4e04895a5af4a2,validated,model.embed_vision,scale_50,02,train/n03930630/n03930630_13666.JPEG|train/n03930630/n03930630_6167.JPEG|train/n03930630/n03930630_9160.JPEG|train/n03930630/n03930630_3104.JPEG|train/n03930630/n03930630_13268.JPEG|train/n03930630/n03930630_12824.JPEG|train/n03930630/n03930630_1045.JPEG|train/n03930630/n03930630_594.JPEG,train/n03417042/n03417042_10046.JPEG|train/n03417042/n03417042_3868.JPEG|train/n03417042/n03417042_1031.JPEG|train/n03417042/n03417042_2103.JPEG|train/n03417042/n03417042_6187.JPEG|train/n03417042/n03417042_5236.JPEG|train/n03417042/n03417042_11994.JPEG|train/n03417042/n03417042_10754.JPEG|train/n03417042/n03417042_2667.JPEG|train/n03417042/n03417042_1258.JPEG|train/n03417042/n03417042_6228.JPEG|train/n03417042/n03417042_5505.JPEG|train/n03417042/n03417042_11027.JPEG|train/n03417042/n03417042_5665.JPEG|train/n03417042/n03417042_995.JPEG|train/n03417042/n03417042_6884.JPEG|train/n03417042/n03417042_4138.JPEG|train/n03417042/n03417042_3039.JPEG|train/n03417042/n03417042_7633.JPEG|train/n03417042/n03417042_1036.JPEG|train/n03417042/n03417042_5604.JPEG|train/n03417042/n03417042_2025.JPEG|train/n03417042/n03417042_10073.JPEG|train/n03417042/n03417042_55.JPEG|train/n03417042/n03417042_8579.JPEG|train/n03417042/n03417042_321.JPEG|train/n03417042/n03417042_3287.JPEG|train/n03417042/n03417042_6558.JPEG|train/n03417042/n03417042_3829.JPEG|train/n03417042/n03417042_3158.JPEG|train/n03417042/n03417042_2137.JPEG|train/n03417042/n03417042_10985.JPEG|train/n03417042/n03417042_5638.JPEG|train/n03417042/n03417042_4876.JPEG|train/n03417042/n03417042_2383.JPEG|train/n03417042/n03417042_5533.JPEG|train/n03417042/n03417042_9238.JPEG|train/n03417042/n03417042_11166.JPEG|train/n03417042/n03417042_9935.JPEG|train/n03417042/n03417042_5631.JPEG|train/n03417042/n03417042_10108.JPEG|train/n03417042/n03417042_11944.JPEG|train/n03417042/n03417042_4728.JPEG|train/n03417042/n03417042_7021.JPEG|train/n03417042/n03417042_7049.JPEG|train/n03417042/n03417042_3916.JPEG|train/n03417042/n03417042_10066.JPEG|train/n03417042/n03417042_4574.JPEG,1.0,1709.712890625,0.3,0.0,0.0,1.0,44,100,8,1,12.5,4,50.0,2.489945291017648e-05,0.997330904006958,8,8,True,1|1|1|1|1|1|1|1,5.625082015991211,0.9963698387145996,8,0.0026443512178957462,0.9946865439414978,0.0026728135999292135,0.000405197381041944,0.0005052760243415833,0.8669549226760864,0.38113710284233093,0.601499080657959,0.33714184165000916,-0.04399526119232178,0.398500919342041,0.35450565814971924,0.1596682220697403,0.04790046438574791,0.09521575272083282,0.0627451092004776,0.0627451241016388,1710.2152625339804,11.301661491394043,11.423828125,ok,
P19,Intra-Family,google/gemma-4-E2B-it,google/gemma-4-E4B-it,8,7,3e22461f65e89153144f8adb70e3b8c2cc9845a7,ee0ef6023621cff504d758262d4e04895a5af4a2,validated,model.embed_vision,scale_50,03,train/n03930630/n03930630_8952.JPEG|train/n03930630/n03930630_3516.JPEG|train/n03930630/n03930630_13375.JPEG|train/n03930630/n03930630_13770.JPEG|train/n03930630/n03930630_1923.JPEG|train/n03930630/n03930630_13057.JPEG|train/n03930630/n03930630_830.JPEG|train/n03930630/n03930630_16782.JPEG,train/n03417042/n03417042_10046.JPEG|train/n03417042/n03417042_3868.JPEG|train/n03417042/n03417042_1031.JPEG|train/n03417042/n03417042_2103.JPEG|train/n03417042/n03417042_6187.JPEG|train/n03417042/n03417042_5236.JPEG|train/n03417042/n03417042_11994.JPEG|train/n03417042/n03417042_10754.JPEG|train/n03417042/n03417042_2667.JPEG|train/n03417042/n03417042_1258.JPEG|train/n03417042/n03417042_6228.JPEG|train/n03417042/n03417042_5505.JPEG|train/n03417042/n03417042_11027.JPEG|train/n03417042/n03417042_5665.JPEG|train/n03417042/n03417042_995.JPEG|train/n03417042/n03417042_6884.JPEG|train/n03417042/n03417042_4138.JPEG|train/n03417042/n03417042_3039.JPEG|train/n03417042/n03417042_7633.JPEG|train/n03417042/n03417042_1036.JPEG|train/n03417042/n03417042_5604.JPEG|train/n03417042/n03417042_2025.JPEG|train/n03417042/n03417042_10073.JPEG|train/n03417042/n03417042_55.JPEG|train/n03417042/n03417042_8579.JPEG|train/n03417042/n03417042_321.JPEG|train/n03417042/n03417042_3287.JPEG|train/n03417042/n03417042_6558.JPEG|train/n03417042/n03417042_3829.JPEG|train/n03417042/n03417042_3158.JPEG|train/n03417042/n03417042_2137.JPEG|train/n03417042/n03417042_10985.JPEG|train/n03417042/n03417042_5638.JPEG|train/n03417042/n03417042_4876.JPEG|train/n03417042/n03417042_2383.JPEG|train/n03417042/n03417042_5533.JPEG|train/n03417042/n03417042_9238.JPEG|train/n03417042/n03417042_11166.JPEG|train/n03417042/n03417042_9935.JPEG|train/n03417042/n03417042_5631.JPEG|train/n03417042/n03417042_10108.JPEG|train/n03417042/n03417042_11944.JPEG|train/n03417042/n03417042_4728.JPEG|train/n03417042/n03417042_7021.JPEG|train/n03417042/n03417042_7049.JPEG|train/n03417042/n03417042_3916.JPEG|train/n03417042/n03417042_10066.JPEG|train/n03417042/n03417042_4574.JPEG,1.0,1626.7926025390625,0.3,0.0,0.0,1.0,45,100,8,0,0.0,0,0.0,0.0002276354207424447,0.9973976612091064,8,8,True,1|1|1|1|1|1|1|1,5.469102382659912,0.9957452416419983,8,0.0023758234456181526,0.9950218200683594,0.002606259658932686,0.0003613834560383111,0.0006204843521118164,1.0123668909072876,0.38596129417419434,0.6051241159439087,0.33891505002975464,-0.0470462441444397,0.3948758840560913,0.3478296399116516,0.13094334304332733,0.03928300738334656,-0.010337811894714832,0.0627451092004776,0.0627451241016388,1711.2581247880007,11.301661491394043,11.423828125,ok,
P19,Intra-Family,google/gemma-4-E2B-it,google/gemma-4-E4B-it,8,7,3e22461f65e89153144f8adb70e3b8c2cc9845a7,ee0ef6023621cff504d758262d4e04895a5af4a2,validated,model.embed_vision,scale_50,04,train/n03930630/n03930630_17225.JPEG|train/n03930630/n03930630_4793.JPEG|train/n03930630/n03930630_8830.JPEG|train/n03930630/n03930630_1276.JPEG|train/n03930630/n03930630_4619.JPEG|train/n03930630/n03930630_1708.JPEG|train/n03930630/n03930630_12329.JPEG|train/n03930630/n03930630_1112.JPEG,train/n03417042/n03417042_10046.JPEG|train/n03417042/n03417042_3868.JPEG|train/n03417042/n03417042_1031.JPEG|train/n03417042/n03417042_2103.JPEG|train/n03417042/n03417042_6187.JPEG|train/n03417042/n03417042_5236.JPEG|train/n03417042/n03417042_11994.JPEG|train/n03417042/n03417042_10754.JPEG|train/n03417042/n03417042_2667.JPEG|train/n03417042/n03417042_1258.JPEG|train/n03417042/n03417042_6228.JPEG|train/n03417042/n03417042_5505.JPEG|train/n03417042/n03417042_11027.JPEG|train/n03417042/n03417042_5665.JPEG|train/n03417042/n03417042_995.JPEG|train/n03417042/n03417042_6884.JPEG|train/n03417042/n03417042_4138.JPEG|train/n03417042/n03417042_3039.JPEG|train/n03417042/n03417042_7633.JPEG|train/n03417042/n03417042_1036.JPEG|train/n03417042/n03417042_5604.JPEG|train/n03417042/n03417042_2025.JPEG|train/n03417042/n03417042_10073.JPEG|train/n03417042/n03417042_55.JPEG|train/n03417042/n03417042_8579.JPEG|train/n03417042/n03417042_321.JPEG|train/n03417042/n03417042_3287.JPEG|train/n03417042/n03417042_6558.JPEG|train/n03417042/n03417042_3829.JPEG|train/n03417042/n03417042_3158.JPEG|train/n03417042/n03417042_2137.JPEG|train/n03417042/n03417042_10985.JPEG|train/n03417042/n03417042_5638.JPEG|train/n03417042/n03417042_4876.JPEG|train/n03417042/n03417042_2383.JPEG|train/n03417042/n03417042_5533.JPEG|train/n03417042/n03417042_9238.JPEG|train/n03417042/n03417042_11166.JPEG|train/n03417042/n03417042_9935.JPEG|train/n03417042/n03417042_5631.JPEG|train/n03417042/n03417042_10108.JPEG|train/n03417042/n03417042_11944.JPEG|train/n03417042/n03417042_4728.JPEG|train/n03417042/n03417042_7021.JPEG|train/n03417042/n03417042_7049.JPEG|train/n03417042/n03417042_3916.JPEG|train/n03417042/n03417042_10066.JPEG|train/n03417042/n03417042_4574.JPEG,1.0,574.0599365234375,0.3,0.0,0.0,1.0,46,100,8,1,12.5,2,25.0,8.165791768988129e-06,0.9985232353210449,8,8,True,1|1|1|1|1|1|1|1,6.062648773193359,0.997658371925354,8,0.0014686346985399723,0.9970545768737793,0.0014778993790969253,0.00012692963355220854,0.0008577778935432434,0.4940207600593567,0.3936743140220642,0.5729595422744751,0.3342958390712738,-0.059378474950790405,0.4270404577255249,0.3676619827747345,0.05168810859322548,0.015506434254348278,0.015985818579792976,0.0627451092004776,0.0627451241016388,1711.228840655007,11.301661491394043,11.462890625,ok,
P19,Intra-Family,google/gemma-4-E2B-it,google/gemma-4-E4B-it,8,7,3e22461f65e89153144f8adb70e3b8c2cc9845a7,ee0ef6023621cff504d758262d4e04895a5af4a2,validated,model.embed_vision,scale_50,05,train/n03930630/n03930630_10739.JPEG|train/n03930630/n03930630_15901.JPEG|train/n03930630/n03930630_15311.JPEG|train/n03930630/n03930630_1484.JPEG|train/n03930630/n03930630_3185.JPEG|train/n03930630/n03930630_15127.JPEG|train/n03930630/n03930630_9530.JPEG|train/n03930630/n03930630_11023.JPEG,train/n03417042/n03417042_10046.JPEG|train/n03417042/n03417042_3868.JPEG|train/n03417042/n03417042_1031.JPEG|train/n03417042/n03417042_2103.JPEG|train/n03417042/n03417042_6187.JPEG|train/n03417042/n03417042_5236.JPEG|train/n03417042/n03417042_11994.JPEG|train/n03417042/n03417042_10754.JPEG|train/n03417042/n03417042_2667.JPEG|train/n03417042/n03417042_1258.JPEG|train/n03417042/n03417042_6228.JPEG|train/n03417042/n03417042_5505.JPEG|train/n03417042/n03417042_11027.JPEG|train/n03417042/n03417042_5665.JPEG|train/n03417042/n03417042_995.JPEG|train/n03417042/n03417042_6884.JPEG|train/n03417042/n03417042_4138.JPEG|train/n03417042/n03417042_3039.JPEG|train/n03417042/n03417042_7633.JPEG|train/n03417042/n03417042_1036.JPEG|train/n03417042/n03417042_5604.JPEG|train/n03417042/n03417042_2025.JPEG|train/n03417042/n03417042_10073.JPEG|train/n03417042/n03417042_55.JPEG|train/n03417042/n03417042_8579.JPEG|train/n03417042/n03417042_321.JPEG|train/n03417042/n03417042_3287.JPEG|train/n03417042/n03417042_6558.JPEG|train/n03417042/n03417042_3829.JPEG|train/n03417042/n03417042_3158.JPEG|train/n03417042/n03417042_2137.JPEG|train/n03417042/n03417042_10985.JPEG|train/n03417042/n03417042_5638.JPEG|train/n03417042/n03417042_4876.JPEG|train/n03417042/n03417042_2383.JPEG|train/n03417042/n03417042_5533.JPEG|train/n03417042/n03417042_9238.JPEG|train/n03417042/n03417042_11166.JPEG|train/n03417042/n03417042_9935.JPEG|train/n03417042/n03417042_5631.JPEG|train/n03417042/n03417042_10108.JPEG|train/n03417042/n03417042_11944.JPEG|train/n03417042/n03417042_4728.JPEG|train/n03417042/n03417042_7021.JPEG|train/n03417042/n03417042_7049.JPEG|train/n03417042/n03417042_3916.JPEG|train/n03417042/n03417042_10066.JPEG|train/n03417042/n03417042_4574.JPEG,1.0,662.9759521484375,0.3,0.0,0.0,1.0,47,100,8,3,37.5,3,37.5,0.0001004414152703248,0.9988253116607666,8,8,True,1|1|1|1|1|1|1|1,6.437737941741943,0.9983927607536316,8,0.0010747667402029037,0.9977505207061768,0.0011754019651561975,7.011390698608011e-05,0.0004948899149894714,0.3293456435203552,0.3846392035484314,0.5982705950737,0.3424674868583679,-0.04217171669006348,0.40172940492630005,0.3595576882362366,0.04989340528845787,0.014968021772801876,-0.012883542105555534,0.0627451092004776,0.0627451241016388,1710.2157829279895,11.301661491394043,11.423828125,ok,
P19,Intra-Family,google/gemma-4-E2B-it,google/gemma-4-E4B-it,8,7,3e22461f65e89153144f8adb70e3b8c2cc9845a7,ee0ef6023621cff504d758262d4e04895a5af4a2,validated,model.embed_vision,scale_50,06,train/n03930630/n03930630_8379.JPEG|train/n03930630/n03930630_11535.JPEG,train/n03417042/n03417042_10046.JPEG|train/n03417042/n03417042_3868.JPEG|train/n03417042/n03417042_1031.JPEG|train/n03417042/n03417042_2103.JPEG|train/n03417042/n03417042_6187.JPEG|train/n03417042/n03417042_5236.JPEG|train/n03417042/n03417042_11994.JPEG|train/n03417042/n03417042_10754.JPEG|train/n03417042/n03417042_2667.JPEG|train/n03417042/n03417042_1258.JPEG|train/n03417042/n03417042_6228.JPEG|train/n03417042/n03417042_5505.JPEG|train/n03417042/n03417042_11027.JPEG|train/n03417042/n03417042_5665.JPEG|train/n03417042/n03417042_995.JPEG|train/n03417042/n03417042_6884.JPEG|train/n03417042/n03417042_4138.JPEG|train/n03417042/n03417042_3039.JPEG|train/n03417042/n03417042_7633.JPEG|train/n03417042/n03417042_1036.JPEG|train/n03417042/n03417042_5604.JPEG|train/n03417042/n03417042_2025.JPEG|train/n03417042/n03417042_10073.JPEG|train/n03417042/n03417042_55.JPEG|train/n03417042/n03417042_8579.JPEG|train/n03417042/n03417042_321.JPEG|train/n03417042/n03417042_3287.JPEG|train/n03417042/n03417042_6558.JPEG|train/n03417042/n03417042_3829.JPEG|train/n03417042/n03417042_3158.JPEG|train/n03417042/n03417042_2137.JPEG|train/n03417042/n03417042_10985.JPEG|train/n03417042/n03417042_5638.JPEG|train/n03417042/n03417042_4876.JPEG|train/n03417042/n03417042_2383.JPEG|train/n03417042/n03417042_5533.JPEG|train/n03417042/n03417042_9238.JPEG|train/n03417042/n03417042_11166.JPEG|train/n03417042/n03417042_9935.JPEG|train/n03417042/n03417042_5631.JPEG|train/n03417042/n03417042_10108.JPEG|train/n03417042/n03417042_11944.JPEG|train/n03417042/n03417042_4728.JPEG|train/n03417042/n03417042_7021.JPEG|train/n03417042/n03417042_7049.JPEG|train/n03417042/n03417042_3916.JPEG|train/n03417042/n03417042_10066.JPEG|train/n03417042/n03417042_4574.JPEG,1.0,462.99774169921875,0.3,0.0,0.0,1.0,48,100,2,1,50.0,1,50.0,0.00043492676923051476,0.9985531568527222,2,2,True,1|1,6.703181743621826,0.998336672782898,2,0.0010137547506019473,0.9975394010543823,0.0014478571247309446,5.871585744898766e-05,0.0006378889083862305,0.29684770107269287,0.38797229528427124,0.5915231108665466,0.32639631628990173,-0.06157597899436951,0.40847688913345337,0.34690091013908386,0.1880044937133789,0.05640134960412979,-0.015440644696354866,0.0627451092004776,0.0627451241016388,451.8518371950486,11.260459899902344,11.384765625,ok,
