pair_id,objective,margin_kind,image_id,target_hit,proxy_target_gradient_cosine,proxy_target_sign_cosine,proxy_target_sign_agreement,proxy_directional_derivative,target_directional_derivative,target_clean_margin,target_actual_margin_change,target_adversarial_margin,target_gap_closure,decision_score_type,gradient_diagnostics_available
P02,target_cka_semantic,source_target,val/n03930630/ILSVRC2012_val_00015879.JPEG,0,nan,nan,nan,nan,nan,-18.375,2.0,-16.375,0.10884353741496598,teacher_forced_closed_set,0
P02,target_cka_semantic,source_target,val/n03930630/ILSVRC2012_val_00035897.JPEG,0,nan,nan,nan,nan,nan,-18.3125,6.4375,-11.875,0.3515358361774744,teacher_forced_closed_set,0
P02,target_cka_semantic,source_target,val/n03930630/ILSVRC2012_val_00026503.JPEG,0,nan,nan,nan,nan,nan,-8.625,0.25,-8.375,0.028985507246376812,teacher_forced_closed_set,0
P02,target_cka_semantic,source_target,val/n03930630/ILSVRC2012_val_00025354.JPEG,0,nan,nan,nan,nan,nan,-19.0625,0.6875,-18.375,0.036065573770491806,teacher_forced_closed_set,0
P02,target_cka_semantic,source_target,val/n03930630/ILSVRC2012_val_00039508.JPEG,0,nan,nan,nan,nan,nan,-11.875,4.375,-7.5,0.3684210526315789,teacher_forced_closed_set,0
P02,target_cka_semantic,source_target,val/n03930630/ILSVRC2012_val_00037136.JPEG,0,nan,nan,nan,nan,nan,-8.25,-3.375,-11.625,-0.4090909090909091,teacher_forced_closed_set,0
P02,target_cka_semantic,source_target,val/n03930630/ILSVRC2012_val_00049612.JPEG,0,nan,nan,nan,nan,nan,-15.9375,-2.375,-18.3125,-0.14901960784313725,teacher_forced_closed_set,0
P02,target_cka_semantic,source_target,val/n03930630/ILSVRC2012_val_00010012.JPEG,0,nan,nan,nan,nan,nan,-16.8125,8.3125,-8.5,0.4944237918215613,teacher_forced_closed_set,0
P02,target_cka_semantic,robust,val/n03930630/ILSVRC2012_val_00015879.JPEG,0,nan,nan,nan,nan,nan,-18.375,2.0,-16.375,0.10884353741496598,teacher_forced_closed_set,0
P02,target_cka_semantic,robust,val/n03930630/ILSVRC2012_val_00035897.JPEG,0,nan,nan,nan,nan,nan,-18.3125,6.4375,-11.875,0.3515358361774744,teacher_forced_closed_set,0
P02,target_cka_semantic,robust,val/n03930630/ILSVRC2012_val_00026503.JPEG,0,nan,nan,nan,nan,nan,-8.625,-0.5,-9.125,-0.057971014492753624,teacher_forced_closed_set,0
P02,target_cka_semantic,robust,val/n03930630/ILSVRC2012_val_00025354.JPEG,0,nan,nan,nan,nan,nan,-19.0625,0.6875,-18.375,0.036065573770491806,teacher_forced_closed_set,0
P02,target_cka_semantic,robust,val/n03930630/ILSVRC2012_val_00039508.JPEG,0,nan,nan,nan,nan,nan,-11.875,4.375,-7.5,0.3684210526315789,teacher_forced_closed_set,0
P02,target_cka_semantic,robust,val/n03930630/ILSVRC2012_val_00037136.JPEG,0,nan,nan,nan,nan,nan,-8.25,-3.375,-11.625,-0.4090909090909091,teacher_forced_closed_set,0
P02,target_cka_semantic,robust,val/n03930630/ILSVRC2012_val_00049612.JPEG,0,nan,nan,nan,nan,nan,-15.9375,-2.375,-18.3125,-0.14901960784313725,teacher_forced_closed_set,0
P02,target_cka_semantic,robust,val/n03930630/ILSVRC2012_val_00010012.JPEG,0,nan,nan,nan,nan,nan,-16.8125,8.3125,-8.5,0.4944237918215613,teacher_forced_closed_set,0
P02,target_cka_only,source_target,val/n03930630/ILSVRC2012_val_00015879.JPEG,0,nan,nan,nan,nan,nan,-18.375,3.0625,-15.3125,0.16666666666666666,teacher_forced_closed_set,0
P02,target_cka_only,source_target,val/n03930630/ILSVRC2012_val_00035897.JPEG,0,nan,nan,nan,nan,nan,-18.3125,5.4375,-12.875,0.29692832764505117,teacher_forced_closed_set,0
P02,target_cka_only,source_target,val/n03930630/ILSVRC2012_val_00026503.JPEG,0,nan,nan,nan,nan,nan,-8.625,5.875,-2.75,0.6811594202898551,teacher_forced_closed_set,0
P02,target_cka_only,source_target,val/n03930630/ILSVRC2012_val_00025354.JPEG,0,nan,nan,nan,nan,nan,-19.0625,0.375,-18.6875,0.019672131147540985,teacher_forced_closed_set,0
P02,target_cka_only,source_target,val/n03930630/ILSVRC2012_val_00039508.JPEG,0,nan,nan,nan,nan,nan,-11.875,7.125,-4.75,0.6,teacher_forced_closed_set,0
P02,target_cka_only,source_target,val/n03930630/ILSVRC2012_val_00037136.JPEG,0,nan,nan,nan,nan,nan,-8.25,-0.5,-8.75,-0.06060606060606061,teacher_forced_closed_set,0
P02,target_cka_only,source_target,val/n03930630/ILSVRC2012_val_00049612.JPEG,0,nan,nan,nan,nan,nan,-15.9375,-0.5,-16.4375,-0.03137254901960784,teacher_forced_closed_set,0
P02,target_cka_only,source_target,val/n03930630/ILSVRC2012_val_00010012.JPEG,0,nan,nan,nan,nan,nan,-16.8125,8.1875,-8.625,0.48698884758364314,teacher_forced_closed_set,0
P02,target_cka_only,robust,val/n03930630/ILSVRC2012_val_00015879.JPEG,0,nan,nan,nan,nan,nan,-18.375,3.0625,-15.3125,0.16666666666666666,teacher_forced_closed_set,0
P02,target_cka_only,robust,val/n03930630/ILSVRC2012_val_00035897.JPEG,0,nan,nan,nan,nan,nan,-18.3125,5.4375,-12.875,0.29692832764505117,teacher_forced_closed_set,0
P02,target_cka_only,robust,val/n03930630/ILSVRC2012_val_00026503.JPEG,0,nan,nan,nan,nan,nan,-8.625,-2.875,-11.5,-0.3333333333333333,teacher_forced_closed_set,0
P02,target_cka_only,robust,val/n03930630/ILSVRC2012_val_00025354.JPEG,0,nan,nan,nan,nan,nan,-19.0625,0.375,-18.6875,0.019672131147540985,teacher_forced_closed_set,0
P02,target_cka_only,robust,val/n03930630/ILSVRC2012_val_00039508.JPEG,0,nan,nan,nan,nan,nan,-11.875,4.125,-7.75,0.3473684210526316,teacher_forced_closed_set,0
P02,target_cka_only,robust,val/n03930630/ILSVRC2012_val_00037136.JPEG,0,nan,nan,nan,nan,nan,-8.25,-0.5,-8.75,-0.06060606060606061,teacher_forced_closed_set,0
P02,target_cka_only,robust,val/n03930630/ILSVRC2012_val_00049612.JPEG,0,nan,nan,nan,nan,nan,-15.9375,-0.5,-16.4375,-0.03137254901960784,teacher_forced_closed_set,0
P02,target_cka_only,robust,val/n03930630/ILSVRC2012_val_00010012.JPEG,0,nan,nan,nan,nan,nan,-16.8125,8.1875,-8.625,0.48698884758364314,teacher_forced_closed_set,0
