pair_id,prompt_id,lambda_cka,alpha,status,proxy_hits,proxy_denominator,free_generation_hits,target_hits,target_denominator,tasr_percent,untargeted_hits,proxy_min_margin,proxy_min_probability,cka_adv_source,cka_adv_reference,reference_cka_gain,source_cka_drop,grad_ml_l1,grad_cka_weighted_l1,grad_component_cosine,elapsed_seconds,error
P20,original,0.5,1.0,complete,8,8,8,3,8,37.5,6,6.180535793304443,0.9975956082344055,0.039901964366436005,0.1967487335205078,0.05954621732234955,0.9600980281829834,0.006660377606749535,0.00037197425263002515,0.14882706105709076,1426.8251629240112,
P21,original,100.0,10.0,complete,7,8,8,,,,,2.8258216381073,0.8161801099777222,0.1489787995815277,0.28863418102264404,0.22601158916950226,0.8510211706161499,0.0236041359603405,0.012694795615971088,0.058713797479867935,755.0154466109962,
P21,original,100.0,4.0,complete,8,8,8,0,8,0.0,4,3.934741973876953,0.9583013653755188,0.10903319716453552,0.2718726396560669,0.2092500478029251,0.8909667730331421,0.023569097742438316,0.01049848459661007,0.09873165190219879,754.4590487780079,
P21,original,300.0,10.0,complete,5,8,8,,,,,2.5,0.7215316295623779,0.14761170744895935,0.2932944893836975,0.23067189753055573,0.8523882627487183,0.02359933778643608,0.03808358311653137,0.05917132645845413,754.4555510390055,
P21,original,30.0,4.0,complete,8,8,8,1,8,12.5,5,4.606901168823242,0.9856296181678772,0.10822388529777527,0.26582518219947815,0.20320259034633636,0.8917760848999023,0.023582175374031067,0.003149905242025852,0.09799744933843613,760.2660528560082,
P22,original,100.0,10.0,complete,8,8,8,0,8,0.0,1,4.694077491760254,0.9810402393341064,0.5394065976142883,0.6617435216903687,0.26141583919525146,0.46059340238571167,0.0,0.0,0.0,1969.815672080993,
P22,original,10.0,4.0,complete,8,8,8,0,8,0.0,3,6.876068592071533,0.9979053735733032,0.46663767099380493,0.6428227424621582,0.24249505996704102,0.5333623290061951,0.0,0.0,0.0,1975.5116767560103,
P22,original,30.0,10.0,complete,8,8,8,0,8,0.0,1,5.0,0.9893655776977539,0.5412087440490723,0.6590843200683594,0.2587566375732422,0.45879125595092773,0.0,0.0,0.0,1974.8653223540168,
P22,original,30.0,4.0,complete,8,8,8,0,8,0.0,3,5.0,0.9906976819038391,0.46536022424697876,0.6443096399307251,0.2439819574356079,0.5346397757530212,0.0,0.0,0.0,1970.3220811210049,
