pair_id,exp_type,proxy_model,target_model,source_human_label,target_human_label,proxy_revision,target_revision,proxy_tap_status,proxy_tap_path,phase,batch_id,source_image_ids,target_reference_ids,lambda,cka_target_weight,seed,steps,clean_valid_count,targeted_hit_count,tasr_percent,untargeted_hit_count,asr_percent,proxy_target_nll,proxy_target_probability,proxy_target_hit_count,proxy_target_hit_denominator,proxy_target_all_hit,proxy_min_target_logit_margin,proxy_max_other_probability,proxy_target_probability_margin,proxy_classification_ce,proxy_rank_loss,proxy_other_suppression_loss,loss_cka,loss_total,cka_clean_reference,cka_adv_source,cka_adv_reference,reference_cka_gain,source_cka_drop,proxy_representation_shift,grad_ml_l1,grad_cka_weighted_l1,grad_component_cosine,linf_float,linf_png,elapsed_seconds,peak_allocated_vram_gb,peak_reserved_vram_gb,status,failure_reason
DCLIP01,Intra-Family,openai/clip-vit-large-patch14,openai/clip-vit-base-patch32,8,7,32bd64288804d66eefd0ccbe215aa642df71cc41,c7244be81152024ce0e99ac8d2e373a8953d9f9a,validated,get_image_features,clip_intra_alpha_scan,00,val/n03930630/ILSVRC2012_val_00025131.JPEG|val/n03930630/ILSVRC2012_val_00013435.JPEG|val/n03930630/ILSVRC2012_val_00035897.JPEG|val/n03930630/ILSVRC2012_val_00026503.JPEG|val/n03930630/ILSVRC2012_val_00025354.JPEG|val/n03930630/ILSVRC2012_val_00039508.JPEG|val/n03930630/ILSVRC2012_val_00037136.JPEG|val/n03930630/ILSVRC2012_val_00017708.JPEG,train/n03417042/n03417042_10046.JPEG|train/n03417042/n03417042_3868.JPEG|train/n03417042/n03417042_1031.JPEG|train/n03417042/n03417042_2103.JPEG|train/n03417042/n03417042_6187.JPEG|train/n03417042/n03417042_5236.JPEG|train/n03417042/n03417042_11994.JPEG|train/n03417042/n03417042_10754.JPEG,1.0,1.0,42,100,8,0,0.0,4,50.0,7.57098023314029e-05,0.9999243021011353,8,8,True,10.494176864624023,2.047278940153774e-05,0.9999038577079773,7.57098023314029e-05,0.00015127462393138558,8.413780960836448e-06,-0.5198684930801392,-0.5196331143379211,0.7854201793670654,0.2608327567577362,0.7807012796401978,-0.004718899726867676,0.7391672134399414,0.7344483137130737,0.008927721530199051,0.0002667084336280823,0.06930282711982727,0.0627451092004776,0.0627451241016388,80.88692724800785,7.063356876373291,7.595703125,ok,
DCLIP01,Intra-Family,openai/clip-vit-large-patch14,openai/clip-vit-base-patch32,8,7,32bd64288804d66eefd0ccbe215aa642df71cc41,c7244be81152024ce0e99ac8d2e373a8953d9f9a,validated,get_image_features,clip_intra_alpha_scan,00,val/n03930630/ILSVRC2012_val_00025131.JPEG|val/n03930630/ILSVRC2012_val_00013435.JPEG|val/n03930630/ILSVRC2012_val_00035897.JPEG|val/n03930630/ILSVRC2012_val_00026503.JPEG|val/n03930630/ILSVRC2012_val_00025354.JPEG|val/n03930630/ILSVRC2012_val_00039508.JPEG|val/n03930630/ILSVRC2012_val_00037136.JPEG|val/n03930630/ILSVRC2012_val_00017708.JPEG,train/n03417042/n03417042_10046.JPEG|train/n03417042/n03417042_3868.JPEG|train/n03417042/n03417042_1031.JPEG|train/n03417042/n03417042_2103.JPEG|train/n03417042/n03417042_6187.JPEG|train/n03417042/n03417042_5236.JPEG|train/n03417042/n03417042_11994.JPEG|train/n03417042/n03417042_10754.JPEG,1.0,2.0,42,100,8,0,0.0,2,25.0,1.564605008752551e-05,0.9999843239784241,8,8,True,11.690032958984375,3.9323676901403815e-06,0.9999803900718689,1.564605008752551e-05,2.9056527637294494e-05,1.7367923419442377e-06,-1.3602672815322876,-1.3602207899093628,0.7854201793670654,0.4536001682281494,0.9069337248802185,0.12151354551315308,0.5463998317718506,0.6679133772850037,0.008927718736231327,0.0004803934716619551,0.11828804016113281,0.0627451092004776,0.0627451241016388,81.32248678999895,7.0628838539123535,7.595703125,ok,
DCLIP01,Intra-Family,openai/clip-vit-large-patch14,openai/clip-vit-base-patch32,8,7,32bd64288804d66eefd0ccbe215aa642df71cc41,c7244be81152024ce0e99ac8d2e373a8953d9f9a,validated,get_image_features,clip_intra_alpha_scan,00,val/n03930630/ILSVRC2012_val_00025131.JPEG|val/n03930630/ILSVRC2012_val_00013435.JPEG|val/n03930630/ILSVRC2012_val_00035897.JPEG|val/n03930630/ILSVRC2012_val_00026503.JPEG|val/n03930630/ILSVRC2012_val_00025354.JPEG|val/n03930630/ILSVRC2012_val_00039508.JPEG|val/n03930630/ILSVRC2012_val_00037136.JPEG|val/n03930630/ILSVRC2012_val_00017708.JPEG,train/n03417042/n03417042_10046.JPEG|train/n03417042/n03417042_3868.JPEG|train/n03417042/n03417042_1031.JPEG|train/n03417042/n03417042_2103.JPEG|train/n03417042/n03417042_6187.JPEG|train/n03417042/n03417042_5236.JPEG|train/n03417042/n03417042_11994.JPEG|train/n03417042/n03417042_10754.JPEG,1.0,5.0,42,100,8,0,0.0,1,12.5,2.5584873583284207e-05,0.9999744296073914,8,8,True,11.28134536743164,6.263408067752607e-06,0.9999681711196899,2.5584873583284207e-05,4.6280823880806565e-05,2.8442273105611093e-06,-4.259566307067871,-4.259491443634033,0.7854201793670654,0.6853811740875244,0.988989531993866,0.20356935262680054,0.3146188259124756,0.5181881785392761,0.008927716873586178,0.001143283792771399,0.14898176491260529,0.0627451092004776,0.0627451241016388,81.5712900780054,7.063387393951416,7.599609375,ok,
DCLIP01,Intra-Family,openai/clip-vit-large-patch14,openai/clip-vit-base-patch32,8,7,32bd64288804d66eefd0ccbe215aa642df71cc41,c7244be81152024ce0e99ac8d2e373a8953d9f9a,validated,get_image_features,clip_intra_alpha_scan,00,val/n03930630/ILSVRC2012_val_00025131.JPEG|val/n03930630/ILSVRC2012_val_00013435.JPEG|val/n03930630/ILSVRC2012_val_00035897.JPEG|val/n03930630/ILSVRC2012_val_00026503.JPEG|val/n03930630/ILSVRC2012_val_00025354.JPEG|val/n03930630/ILSVRC2012_val_00039508.JPEG|val/n03930630/ILSVRC2012_val_00037136.JPEG|val/n03930630/ILSVRC2012_val_00017708.JPEG,train/n03417042/n03417042_10046.JPEG|train/n03417042/n03417042_3868.JPEG|train/n03417042/n03417042_1031.JPEG|train/n03417042/n03417042_2103.JPEG|train/n03417042/n03417042_6187.JPEG|train/n03417042/n03417042_5236.JPEG|train/n03417042/n03417042_11994.JPEG|train/n03417042/n03417042_10754.JPEG,1.0,10.0,42,100,8,0,0.0,1,12.5,6.288028816925362e-05,0.999937117099762,8,8,True,10.62047004699707,1.4285074939834885e-05,0.9999228119850159,6.288028816925362e-05,0.00010555487097008154,6.987588676565792e-06,-9.235036849975586,-9.234861373901367,0.7854201793670654,0.74166339635849,0.9976699948310852,0.21224981546401978,0.25833660364151,0.4705864191055298,0.008927718736231327,0.0022566646803170443,0.1589430868625641,0.0627451092004776,0.0627451241016388,81.6133219859912,7.063387393951416,7.599609375,ok,
DCLIP01,Intra-Family,openai/clip-vit-large-patch14,openai/clip-vit-base-patch32,8,7,32bd64288804d66eefd0ccbe215aa642df71cc41,c7244be81152024ce0e99ac8d2e373a8953d9f9a,validated,get_image_features,clip_intra_alpha_scan,00,val/n03930630/ILSVRC2012_val_00025131.JPEG|val/n03930630/ILSVRC2012_val_00013435.JPEG|val/n03930630/ILSVRC2012_val_00035897.JPEG|val/n03930630/ILSVRC2012_val_00026503.JPEG|val/n03930630/ILSVRC2012_val_00025354.JPEG|val/n03930630/ILSVRC2012_val_00039508.JPEG|val/n03930630/ILSVRC2012_val_00037136.JPEG|val/n03930630/ILSVRC2012_val_00017708.JPEG,train/n03417042/n03417042_10046.JPEG|train/n03417042/n03417042_3868.JPEG|train/n03417042/n03417042_1031.JPEG|train/n03417042/n03417042_2103.JPEG|train/n03417042/n03417042_6187.JPEG|train/n03417042/n03417042_5236.JPEG|train/n03417042/n03417042_11994.JPEG|train/n03417042/n03417042_10754.JPEG,1.0,20.0,42,100,8,0,0.0,2,25.0,9.622573270462453e-05,0.9999037981033325,8,8,True,9.929360389709473,2.494507862138562e-05,0.9998788237571716,9.622573998058215e-05,0.00018432200886309147,1.0685625056794379e-05,-19.223295211791992,-19.223003387451172,0.7854201793670654,0.7661898136138916,0.9994742274284363,0.21405404806137085,0.2338101863861084,0.44786423444747925,0.008927720598876476,0.004487022757530212,0.16381417214870453,0.0627451092004776,0.0627451241016388,81.67880332199275,7.063387393951416,7.599609375,ok,
DCLIP01,Intra-Family,openai/clip-vit-large-patch14,openai/clip-vit-base-patch32,8,7,32bd64288804d66eefd0ccbe215aa642df71cc41,c7244be81152024ce0e99ac8d2e373a8953d9f9a,validated,get_image_features,clip_intra_alpha_scan,00,val/n03930630/ILSVRC2012_val_00025131.JPEG|val/n03930630/ILSVRC2012_val_00013435.JPEG|val/n03930630/ILSVRC2012_val_00035897.JPEG|val/n03930630/ILSVRC2012_val_00026503.JPEG|val/n03930630/ILSVRC2012_val_00025354.JPEG|val/n03930630/ILSVRC2012_val_00039508.JPEG|val/n03930630/ILSVRC2012_val_00037136.JPEG|val/n03930630/ILSVRC2012_val_00017708.JPEG,train/n03417042/n03417042_10046.JPEG|train/n03417042/n03417042_3868.JPEG|train/n03417042/n03417042_1031.JPEG|train/n03417042/n03417042_2103.JPEG|train/n03417042/n03417042_6187.JPEG|train/n03417042/n03417042_5236.JPEG|train/n03417042/n03417042_11994.JPEG|train/n03417042/n03417042_10754.JPEG,1.0,50.0,42,100,8,0,0.0,2,25.0,0.00022602090029977262,0.9997739791870117,8,8,True,9.201242446899414,5.8566572988638654e-05,0.9997153878211975,0.00022602090029977262,0.00043275475036352873,2.511275488359388e-05,-49.21414566040039,-49.213462829589844,0.7854201793670654,0.7785589694976807,0.9998541474342346,0.2144339680671692,0.22144103050231934,0.4358749985694885,0.008927716873586178,0.011181159876286983,0.1666993796825409,0.0627451092004776,0.0627451241016388,81.56583763100207,7.063387393951416,7.599609375,ok,
DCLIP01,Intra-Family,openai/clip-vit-large-patch14,openai/clip-vit-base-patch32,8,7,32bd64288804d66eefd0ccbe215aa642df71cc41,c7244be81152024ce0e99ac8d2e373a8953d9f9a,validated,get_image_features,clip_intra_alpha_scan,00,val/n03930630/ILSVRC2012_val_00025131.JPEG|val/n03930630/ILSVRC2012_val_00013435.JPEG|val/n03930630/ILSVRC2012_val_00035897.JPEG|val/n03930630/ILSVRC2012_val_00026503.JPEG|val/n03930630/ILSVRC2012_val_00025354.JPEG|val/n03930630/ILSVRC2012_val_00039508.JPEG|val/n03930630/ILSVRC2012_val_00037136.JPEG|val/n03930630/ILSVRC2012_val_00017708.JPEG,train/n03417042/n03417042_10046.JPEG|train/n03417042/n03417042_3868.JPEG|train/n03417042/n03417042_1031.JPEG|train/n03417042/n03417042_2103.JPEG|train/n03417042/n03417042_6187.JPEG|train/n03417042/n03417042_5236.JPEG|train/n03417042/n03417042_11994.JPEG|train/n03417042/n03417042_10754.JPEG,1.0,100.0,42,100,8,0,0.0,3,37.5,0.000401055789552629,0.9995989799499512,8,8,True,8.505722999572754,0.00011626913328655064,0.9994826912879944,0.000401055789552629,0.0008590695797465742,4.4549804442794994e-05,-99.20855712890625,-99.2072525024414,0.7854201793670654,0.7794175744056702,0.999879777431488,0.2144595980644226,0.22058242559432983,0.43504202365875244,0.008927719667553902,0.022339124232530594,0.1676531285047531,0.0627451092004776,0.0627451241016388,81.60060159600107,7.063387393951416,7.599609375,ok,
