pair_id,transition_id,source_human_label,target_human_label,arm,semantic_mode,steps,step_size,rho,semantic_temperature,target_logit_weight,source_logit_weight,proxy_hits,proxy_denominator,tasr_hits,tasr_denominator,tasr_percent,asr_hits,asr_percent,semantic_gap_clean,semantic_gap_adversarial,semantic_gap_gain,effective_lambda,elapsed_seconds
P16,T06,6,9,p16_reserve_rho125_push050,prototype,50,0.00392156862745098,1.25,0.1,1.0,0.5,8,8,3,8,37.5,3,37.5,-0.16780544817447662,0.35524147748947144,0.5230469107627869,1113.8206787109375,122.2929591590073
P16,T07,7,10,multi_ext_rho025,multiclass_prototype,50,0.00392156862745098,0.25,0.1,1.0,1.0,8,8,3,8,37.5,3,37.5,-0.2285173535346985,0.3980398178100586,0.6265571713447571,24.43876838684082,124.06022564403247
P16,T07,7,10,multi_ext_rho050,multiclass_prototype,50,0.00392156862745098,0.5,0.1,1.0,1.0,8,8,2,8,25.0,2,25.0,-0.2285173535346985,0.40058624744415283,0.6291036009788513,49.154781341552734,124.01907648600172
P16,T07,7,10,multi_ext_rho100,multiclass_prototype,50,0.00392156862745098,1.0,0.1,1.0,1.0,8,8,1,8,12.5,1,12.5,-0.2285173535346985,0.40247029066085815,0.6309876441955566,97.36900329589844,124.0082556809648
P16,T07,7,10,multi_ext_tau020_rho050,multiclass_prototype,50,0.00392156862745098,0.5,0.2,1.0,1.0,8,8,1,8,12.5,1,12.5,-0.2285173535346985,0.39311307668685913,0.6216304302215576,139.47959899902344,123.9693186620134
P16,T07,7,10,p16_ext_push010,prototype,50,0.00392156862745098,1.0,0.1,1.0,0.1,8,8,3,8,37.5,4,50.0,-0.22851736843585968,0.3221110701560974,0.5506284236907959,11290.638671875,115.99693327199202
P16,T07,7,10,p16_ext_push020,prototype,50,0.00392156862745098,1.0,0.1,1.0,0.2,8,8,5,8,62.5,7,87.5,-0.22851736843585968,0.37322551012039185,0.6017428636550903,4949.78564453125,116.18759882601444
P16,T07,7,10,p16_ext_push035,prototype,50,0.00392156862745098,1.0,0.1,1.0,0.35,8,8,2,8,25.0,5,62.5,-0.22851736843585968,0.4445142447948456,0.6730316281318665,1454.9359130859375,116.14697864704067
P16,T07,7,10,p16_ext_rho075_push025,prototype,50,0.00392156862745098,0.75,0.1,1.0,0.25,8,8,2,8,25.0,4,50.0,-0.22851736843585968,0.3955434560775757,0.6240608096122742,2448.0966796875,115.93983838899294
P16,T07,7,10,p16_ext_rho125_push025,prototype,50,0.00392156862745098,1.25,0.1,1.0,0.25,8,8,4,8,50.0,5,62.5,-0.22851736843585968,0.3973231613636017,0.6258405447006226,4063.3798828125,116.26050371897873
