pair_id,objective,margin_kind,image_id,target_hit,proxy_target_gradient_cosine,proxy_target_sign_cosine,proxy_target_sign_agreement,proxy_directional_derivative,target_directional_derivative,target_clean_margin,target_actual_margin_change,target_adversarial_margin,target_gap_closure,decision_score_type
P22,cls_only,source_target,val/n03930630/ILSVRC2012_val_00015879.JPEG,0,0.13777783513069153,0.11077010631561279,0.5553850531578064,14.52605152130127,53.24258804321289,-21.203125,12.328125,-8.875,0.5814296241709653,teacher_forced_closed_set
P22,cls_only,source_target,val/n03930630/ILSVRC2012_val_00035897.JPEG,0,-0.17266644537448883,0.0908668264746666,0.5454334020614624,-22.223928451538086,16.653823852539062,-17.328125,8.453125,-8.875,0.4878268710550045,teacher_forced_closed_set
P22,cls_only,source_target,val/n03930630/ILSVRC2012_val_00026503.JPEG,0,0.01560276746749878,0.01941167376935482,0.5097058415412903,14.692727088928223,12.936288833618164,-7.375,7.125,-0.25,0.9661016949152542,teacher_forced_closed_set
P22,cls_only,source_target,val/n03930630/ILSVRC2012_val_00025354.JPEG,0,-0.04640104994177818,0.008596408180892467,0.504298210144043,5.6430816650390625,53.28022766113281,-24.875,17.75,-7.125,0.7135678391959799,teacher_forced_closed_set
P22,cls_only,source_target,val/n03930630/ILSVRC2012_val_00039508.JPEG,0,0.06980255991220474,0.06604751944541931,0.5330237746238708,-45.488155364990234,-5.868870735168457,-12.5625,3.5625,-9.0,0.2835820895522388,teacher_forced_closed_set
P22,cls_only,source_target,val/n03930630/ILSVRC2012_val_00037136.JPEG,0,0.08342484384775162,0.0200892873108387,0.5100446343421936,24.96604347229004,-3.0696611404418945,-12.375,3.875,-8.5,0.31313131313131315,teacher_forced_closed_set
P22,cls_only,source_target,val/n03930630/ILSVRC2012_val_00017708.JPEG,0,-0.37045562267303467,0.054249051958322525,0.5271245241165161,-39.334205627441406,-15.031736373901367,-10.375,3.375,-7.0,0.3253012048192771,teacher_forced_closed_set
P22,cls_only,source_target,val/n03930630/ILSVRC2012_val_00049612.JPEG,0,0.014946570619940758,0.049718331545591354,0.5248591899871826,-36.03815841674805,191.1551055908203,-14.3125,4.6875,-9.625,0.32751091703056767,teacher_forced_closed_set
P22,cls_only,robust,val/n03930630/ILSVRC2012_val_00015879.JPEG,0,0.13906526565551758,0.1096540242433548,0.5548270344734192,14.348210334777832,53.21189498901367,-21.203125,12.328125,-8.875,0.5814296241709653,teacher_forced_closed_set
P22,cls_only,robust,val/n03930630/ILSVRC2012_val_00035897.JPEG,0,-0.18265260756015778,0.09013606607913971,0.5450680255889893,-22.014326095581055,17.853641510009766,-17.328125,8.453125,-8.875,0.4878268710550045,teacher_forced_closed_set
P22,cls_only,robust,val/n03930630/ILSVRC2012_val_00026503.JPEG,0,0.021713025867938995,0.0200892873108387,0.5100446343421936,14.232269287109375,12.676570892333984,-7.375,-0.5,-7.875,-0.06779661016949153,teacher_forced_closed_set
P22,cls_only,robust,val/n03930630/ILSVRC2012_val_00025354.JPEG,0,-0.04740218073129654,0.008835566230118275,0.5044177770614624,5.3757195472717285,54.31800842285156,-24.875,17.75,-7.125,0.7135678391959799,teacher_forced_closed_set
P22,cls_only,robust,val/n03930630/ILSVRC2012_val_00039508.JPEG,0,-0.013355148024857044,-0.04803093895316124,0.4759845435619354,57.86779022216797,-5.98253059387207,-12.5625,3.5625,-9.0,0.2835820895522388,teacher_forced_closed_set
P22,cls_only,robust,val/n03930630/ILSVRC2012_val_00037136.JPEG,0,0.08408655971288681,0.020355019718408585,0.510177493095398,24.958057403564453,-3.114887237548828,-12.375,3.875,-8.5,0.31313131313131315,teacher_forced_closed_set
P22,cls_only,robust,val/n03930630/ILSVRC2012_val_00017708.JPEG,0,-0.36897173523902893,0.054993100464344025,0.5274965167045593,-41.080665588378906,-14.534341812133789,-10.375,3.375,-7.0,0.3253012048192771,teacher_forced_closed_set
P22,cls_only,robust,val/n03930630/ILSVRC2012_val_00049612.JPEG,0,0.0146559476852417,0.04842953383922577,0.5242147445678711,-35.936710357666016,191.56735229492188,-14.3125,4.6875,-9.625,0.32751091703056767,teacher_forced_closed_set
P22,semantic_only,source_target,val/n03930630/ILSVRC2012_val_00015879.JPEG,0,0.13777783513069153,0.11077010631561279,0.5553850531578064,19.546783447265625,3.1372108459472656,-21.203125,20.703125,-0.5,0.976418570375829,teacher_forced_closed_set
P22,semantic_only,source_target,val/n03930630/ILSVRC2012_val_00035897.JPEG,0,-0.17266644537448883,0.0908668264746666,0.5454334020614624,-2.5104026794433594,33.03152084350586,-17.328125,16.453125,-0.875,0.9495040577096483,teacher_forced_closed_set
P22,semantic_only,source_target,val/n03930630/ILSVRC2012_val_00026503.JPEG,0,0.01560276746749878,0.01941167376935482,0.5097058415412903,56.006492614746094,-19.850191116333008,-7.375,6.25,-1.125,0.847457627118644,teacher_forced_closed_set
P22,semantic_only,source_target,val/n03930630/ILSVRC2012_val_00025354.JPEG,0,-0.04640104994177818,0.008596408180892467,0.504298210144043,-7.90856409072876,58.43362808227539,-24.875,24.875,0.0,1.0,teacher_forced_closed_set
P22,semantic_only,source_target,val/n03930630/ILSVRC2012_val_00039508.JPEG,0,0.06980255991220474,0.06604751944541931,0.5330237746238708,-73.86885833740234,1.2011051177978516,-12.5625,13.3125,0.75,1.0597014925373134,teacher_forced_closed_set
P22,semantic_only,source_target,val/n03930630/ILSVRC2012_val_00037136.JPEG,0,0.08342484384775162,0.0200892873108387,0.5100446343421936,24.985198974609375,-15.644577026367188,-12.375,10.75,-1.625,0.8686868686868687,teacher_forced_closed_set
P22,semantic_only,source_target,val/n03930630/ILSVRC2012_val_00017708.JPEG,0,-0.37045562267303467,0.054249051958322525,0.5271245241165161,-41.207454681396484,-28.80118179321289,-10.375,8.625,-1.75,0.8313253012048193,teacher_forced_closed_set
P22,semantic_only,source_target,val/n03930630/ILSVRC2012_val_00049612.JPEG,0,0.014946570619940758,0.049718331545591354,0.5248591899871826,30.12683868408203,7.108348846435547,-14.3125,14.0625,-0.25,0.982532751091703,teacher_forced_closed_set
P22,semantic_only,robust,val/n03930630/ILSVRC2012_val_00015879.JPEG,0,0.13906526565551758,0.1096540242433548,0.5548270344734192,19.59967613220215,2.550945281982422,-21.203125,13.453125,-7.75,0.63448784082535,teacher_forced_closed_set
P22,semantic_only,robust,val/n03930630/ILSVRC2012_val_00035897.JPEG,0,-0.18265260756015778,0.09013606607913971,0.5450680255889893,-2.6179356575012207,33.349334716796875,-17.328125,10.453125,-6.875,0.6032461677186655,teacher_forced_closed_set
P22,semantic_only,robust,val/n03930630/ILSVRC2012_val_00026503.JPEG,0,0.021713025867938995,0.0200892873108387,0.5100446343421936,56.96886444091797,-20.189855575561523,-7.375,-0.25,-7.625,-0.03389830508474576,teacher_forced_closed_set
P22,semantic_only,robust,val/n03930630/ILSVRC2012_val_00025354.JPEG,0,-0.04740218073129654,0.008835566230118275,0.5044177770614624,-8.1821928024292,58.454978942871094,-24.875,21.625,-3.25,0.8693467336683417,teacher_forced_closed_set
P22,semantic_only,robust,val/n03930630/ILSVRC2012_val_00039508.JPEG,0,-0.013355148024857044,-0.04803093895316124,0.4759845435619354,63.98764419555664,1.0915814638137817,-12.5625,6.0625,-6.5,0.48258706467661694,teacher_forced_closed_set
P22,semantic_only,robust,val/n03930630/ILSVRC2012_val_00037136.JPEG,0,0.08408655971288681,0.020355019718408585,0.510177493095398,24.347949981689453,-15.613378524780273,-12.375,6.875,-5.5,0.5555555555555556,teacher_forced_closed_set
P22,semantic_only,robust,val/n03930630/ILSVRC2012_val_00017708.JPEG,0,-0.36897173523902893,0.054993100464344025,0.5274965167045593,-40.63569641113281,-28.257793426513672,-10.375,1.75,-8.625,0.1686746987951807,teacher_forced_closed_set
P22,semantic_only,robust,val/n03930630/ILSVRC2012_val_00049612.JPEG,0,0.0146559476852417,0.04842953383922577,0.5242147445678711,30.46217155456543,6.820104598999023,-14.3125,7.1875,-7.125,0.5021834061135371,teacher_forced_closed_set
P22,target_cka_semantic,source_target,val/n03930630/ILSVRC2012_val_00015879.JPEG,0,0.13777783513069153,0.11077010631561279,0.5553850531578064,-3.380703926086426,-48.312801361083984,-21.203125,19.078125,-2.125,0.8997789240972734,teacher_forced_closed_set
P22,target_cka_semantic,source_target,val/n03930630/ILSVRC2012_val_00035897.JPEG,0,-0.17266644537448883,0.0908668264746666,0.5454334020614624,-29.697011947631836,-91.94994354248047,-17.328125,12.828125,-4.5,0.7403065825067628,teacher_forced_closed_set
P22,target_cka_semantic,source_target,val/n03930630/ILSVRC2012_val_00026503.JPEG,0,0.01560276746749878,0.01941167376935482,0.5097058415412903,31.285646438598633,4.939164161682129,-7.375,7.5,0.125,1.0169491525423728,teacher_forced_closed_set
P22,target_cka_semantic,source_target,val/n03930630/ILSVRC2012_val_00025354.JPEG,0,-0.04640104994177818,0.008596408180892467,0.504298210144043,-23.9180965423584,56.34043884277344,-24.875,13.625,-11.25,0.5477386934673367,teacher_forced_closed_set
