pair_id,objective,margin_kind,image_id,target_hit,proxy_target_gradient_cosine,proxy_target_sign_cosine,proxy_target_sign_agreement,proxy_directional_derivative,target_directional_derivative,target_clean_margin,target_actual_margin_change,target_adversarial_margin,target_gap_closure,decision_score_type
P20,cls_only,source_target,val/n03930630/ILSVRC2012_val_00015879.JPEG,0,0.06108137592673302,0.038278598338365555,0.519139289855957,20.47209930419922,-0.7730358839035034,-6.375,6.0,-0.375,0.9411764705882353,teacher_forced_closed_set
P20,cls_only,source_target,val/n03930630/ILSVRC2012_val_00035897.JPEG,0,0.017648043110966682,0.03903593122959137,0.5195179581642151,2.864816427230835,7.161581516265869,-9.375,4.25,-5.125,0.4533333333333333,teacher_forced_closed_set
P20,cls_only,source_target,val/n03930630/ILSVRC2012_val_00026503.JPEG,0,0.007577450014650822,0.011931337416172028,0.5059656500816345,103.06134033203125,-54.244041442871094,-5.0,1.5,-3.5,0.3,teacher_forced_closed_set
P20,cls_only,source_target,val/n03930630/ILSVRC2012_val_00025354.JPEG,0,0.00797445047646761,-0.007174746599048376,0.49641263484954834,7.955648422241211,-1.493437647819519,-10.5,8.0,-2.5,0.7619047619047619,teacher_forced_closed_set
P20,cls_only,source_target,val/n03930630/ILSVRC2012_val_00039508.JPEG,0,0.048900775611400604,0.014283059164881706,0.5071415305137634,4.1114702224731445,2.5272202491760254,-8.5,6.25,-2.25,0.7352941176470589,teacher_forced_closed_set
P20,cls_only,source_target,val/n03930630/ILSVRC2012_val_00037136.JPEG,1,-0.027881626039743423,-0.015213118866086006,0.492393434047699,-10.457437515258789,-0.43851548433303833,-6.25,8.0,1.75,1.28,teacher_forced_closed_set
P20,cls_only,source_target,val/n03930630/ILSVRC2012_val_00017708.JPEG,0,0.0016721386928111315,0.030226940289139748,0.5151134729385376,34.5418815612793,2.0181233882904053,-9.625,5.375,-4.25,0.5584415584415584,teacher_forced_closed_set
P20,cls_only,source_target,val/n03930630/ILSVRC2012_val_00049612.JPEG,0,0.037751633673906326,0.008237671107053757,0.5041188597679138,6.274423122406006,-3.54699969291687,-9.125,10.875,1.75,1.1917808219178083,teacher_forced_closed_set
P20,cls_only,robust,val/n03930630/ILSVRC2012_val_00015879.JPEG,0,0.060974884778261185,0.038092583417892456,0.5190463066101074,20.576074600219727,-0.5425207614898682,-6.375,3.559357166290283,-2.815642833709717,0.5583305358886719,teacher_forced_closed_set
P20,cls_only,robust,val/n03930630/ILSVRC2012_val_00035897.JPEG,0,0.018398016691207886,0.0382254496216774,0.5191127061843872,2.9044747352600098,7.021126747131348,-9.375,4.25,-5.125,0.4533333333333333,teacher_forced_closed_set
P20,cls_only,robust,val/n03930630/ILSVRC2012_val_00026503.JPEG,0,0.0072224317118525505,0.011798471212387085,0.5058992505073547,100.93023681640625,-54.56060028076172,-5.0,1.5,-3.5,0.3,teacher_forced_closed_set
P20,cls_only,robust,val/n03930630/ILSVRC2012_val_00025354.JPEG,0,0.007602525409311056,-0.008862139657139778,0.4955689311027527,8.326952934265137,-1.4865890741348267,-10.5,8.0,-2.5,0.7619047619047619,teacher_forced_closed_set
P20,cls_only,robust,val/n03930630/ILSVRC2012_val_00039508.JPEG,0,0.048385802656412125,0.014655081555247307,0.5073275566101074,4.124814510345459,2.5715603828430176,-8.5,6.25,-2.25,0.7352941176470589,teacher_forced_closed_set
P20,cls_only,robust,val/n03930630/ILSVRC2012_val_00037136.JPEG,1,-0.026911966502666473,-0.015252979472279549,0.492373526096344,-10.617880821228027,-0.13666588068008423,-6.25,6.576789379119873,0.32678937911987305,1.0522863006591796,teacher_forced_closed_set
P20,cls_only,robust,val/n03930630/ILSVRC2012_val_00017708.JPEG,0,0.0017909961752593517,0.030001066625118256,0.5150005221366882,34.70909881591797,2.2280139923095703,-9.625,5.375,-4.25,0.5584415584415584,teacher_forced_closed_set
P20,cls_only,robust,val/n03930630/ILSVRC2012_val_00049612.JPEG,0,0.038637615740299225,0.007932079955935478,0.5039660334587097,6.436500072479248,-3.6480634212493896,-9.125,9.0,-0.125,0.9863013698630136,teacher_forced_closed_set
P20,semantic_only,source_target,val/n03930630/ILSVRC2012_val_00015879.JPEG,0,0.06108137592673302,0.038278598338365555,0.519139289855957,-38.5681266784668,-4.380515098571777,-6.375,3.375,-3.0,0.5294117647058824,teacher_forced_closed_set
P20,semantic_only,source_target,val/n03930630/ILSVRC2012_val_00035897.JPEG,0,0.017648043110966682,0.03903593122959137,0.5195179581642151,1.4427621364593506,-4.008335113525391,-9.375,9.125,-0.25,0.9733333333333334,teacher_forced_closed_set
P20,semantic_only,source_target,val/n03930630/ILSVRC2012_val_00026503.JPEG,0,0.007577450014650822,0.011931337416172028,0.5059656500816345,-152.79750061035156,-112.3895263671875,-5.0,5.0,0.0,1.0,teacher_forced_closed_set
P20,semantic_only,source_target,val/n03930630/ILSVRC2012_val_00025354.JPEG,1,0.00797445047646761,-0.007174746599048376,0.49641263484954834,-26.805156707763672,-3.7047576904296875,-10.5,14.5,4.0,1.380952380952381,teacher_forced_closed_set
P20,semantic_only,source_target,val/n03930630/ILSVRC2012_val_00039508.JPEG,1,0.048900775611400604,0.014283059164881706,0.5071415305137634,-0.2732650637626648,2.228240966796875,-8.5,11.875,3.375,1.3970588235294117,teacher_forced_closed_set
P20,semantic_only,source_target,val/n03930630/ILSVRC2012_val_00037136.JPEG,1,-0.027881626039743423,-0.015213118866086006,0.492393434047699,11.16498851776123,41.74705505371094,-6.25,11.625,5.375,1.86,teacher_forced_closed_set
P20,semantic_only,source_target,val/n03930630/ILSVRC2012_val_00017708.JPEG,0,0.0016721386928111315,0.030226940289139748,0.5151134729385376,42.679100036621094,-1.0532513856887817,-9.625,6.75,-2.875,0.7012987012987013,teacher_forced_closed_set
P20,semantic_only,source_target,val/n03930630/ILSVRC2012_val_00049612.JPEG,1,0.037751633673906326,0.008237671107053757,0.5041188597679138,6.461626052856445,3.961503028869629,-9.125,16.0,6.875,1.7534246575342465,teacher_forced_closed_set
P20,semantic_only,robust,val/n03930630/ILSVRC2012_val_00015879.JPEG,0,0.060974884778261185,0.038092583417892456,0.5190463066101074,-38.57320022583008,-4.417629718780518,-6.375,3.375,-3.0,0.5294117647058824,teacher_forced_closed_set
P20,semantic_only,robust,val/n03930630/ILSVRC2012_val_00035897.JPEG,0,0.018398016691207886,0.0382254496216774,0.5191127061843872,1.4717934131622314,-4.0588860511779785,-9.375,5.25,-4.125,0.56,teacher_forced_closed_set
P20,semantic_only,robust,val/n03930630/ILSVRC2012_val_00026503.JPEG,0,0.0072224317118525505,0.011798471212387085,0.5058992505073547,-152.100830078125,-113.09474182128906,-5.0,3.8684706687927246,-1.1315293312072754,0.7736941337585449,teacher_forced_closed_set
P20,semantic_only,robust,val/n03930630/ILSVRC2012_val_00025354.JPEG,1,0.007602525409311056,-0.008862139657139778,0.4955689311027527,-26.70771598815918,-3.6862411499023438,-10.5,12.762124061584473,2.2621238231658936,1.2154403868175687,teacher_forced_closed_set
