pair_id,transition_id,batch_index,image_index,generation_target_hit,clean_source_target_margin,adversarial_source_target_margin,clean_robust_margin,adversarial_robust_margin,clean_target_probability,adversarial_target_probability,clean_target_rank,adversarial_target_rank,clean_closedset_entropy,adversarial_closedset_entropy,source_target_gap_closure,robust_gap_closure
P19,T01,0,0,1,-22.5,19.6875,-22.5,16.625,1.6918978718027944e-10,0.9999998807907104,9.0,1.0,2.7836504159495234e-06,3.0603009690821636e-06,1.875,1.738888888888889
P19,T01,0,1,1,-17.25,21.28125,-17.25,15.75,3.2241764813534246e-08,0.9999997615814209,6.0,1.0,4.519126014201902e-05,4.300333785067778e-06,2.233695652173913,1.9130434782608696
P19,T01,0,2,1,-15.125,22.15625,-15.125,18.0,2.6995490998160676e-07,1.0,6.0,1.0,0.000146738879266195,5.15635008468962e-07,2.4648760330578514,2.190082644628099
P19,T01,0,3,1,-19.375,13.0625,-19.375,10.75,3.850737950727989e-09,0.9999510049819946,5.0,1.0,1.553255606268067e-05,0.0006193009903654456,1.6741935483870967,1.5548387096774194
P19,T01,0,4,1,-16.6875,21.59375,-16.6875,17.9375,5.658586843537705e-08,1.0,5.0,1.0,8.870897727319971e-05,6.682396929136303e-07,2.2940074906367043,2.0749063670411987
P19,T01,0,5,1,-19.6875,19.25,-19.6875,14.875,2.817261091081491e-09,0.9999991655349731,7.0,1.0,9.119708920479752e-06,1.2980895917280577e-05,1.9777777777777779,1.7555555555555555
P19,T01,0,6,1,-22.375,22.21875,-22.375,17.875,1.917171560394948e-10,1.0,8.0,1.0,8.618447395747353e-07,7.014025982243766e-07,1.9930167597765363,1.7988826815642458
P19,T01,0,7,1,-20.75,22.875,-20.75,19.0,9.736199624299502e-10,1.0,7.0,1.0,2.218260760855628e-06,2.8238503091415623e-07,2.102409638554217,1.9156626506024097
P19,T01,1,0,1,-22.78125,17.875,-22.78125,14.0625,1.2771110557974197e-10,0.9999986886978149,10.0,1.0,7.675185770494863e-06,2.0459607185330242e-05,1.784636488340192,1.617283950617284
P19,T01,1,1,1,-21.59375,20.8125,-21.59375,17.375,4.187487023799008e-10,1.0,6.0,1.0,2.347333520447137e-06,1.5620042859154637e-06,1.963820549927641,1.804630969609262
P19,T01,1,2,1,-20.5,6.125,-20.5,6.125,1.2501527590913497e-09,0.9941486120223999,6.0,1.0,2.743436880336958e-06,0.04466390237212181,1.298780487804878,1.298780487804878
P19,T01,1,3,1,-16.25,22.40625,-16.25,18.8125,8.764227743540687e-08,1.0,5.0,1.0,3.41767881764099e-05,3.5701489764505823e-07,2.378846153846154,2.1576923076923076
P19,T01,1,4,1,-17.5,20.46875,-17.5,14.9375,2.5109967438652347e-08,0.9999996423721313,6.0,1.0,1.6299351045745425e-05,6.6662537392403465e-06,2.169642857142857,1.8535714285714286
P19,T01,1,5,1,-21.71875,22.03125,-21.71875,17.125,3.6954447835135795e-10,1.0,4.0,1.0,6.237057732505491e-07,1.1110831792393583e-06,2.014388489208633,1.7884892086330935
P19,T01,1,6,1,-23.21875,22.25,-23.21875,17.6875,8.245651383909092e-11,1.0,7.0,1.0,3.0086407605267595e-06,6.999957804509904e-07,1.958277254374159,1.7617765814266486
P19,T01,1,7,1,-23.984375,22.3125,-23.984375,17.8125,3.834584386130935e-11,1.0,9.0,1.0,5.516670853467076e-07,9.706826631372678e-07,1.9302931596091206,1.742671009771987
P19,T01,2,0,1,-21.1875,21.625,-21.1875,18.1875,6.286161591262385e-10,1.0,8.0,1.0,3.972839294874575e-06,4.021291317712894e-07,2.0206489675516224,1.8584070796460177
P19,T01,2,1,1,-20.5,18.625,-20.5,14.4375,1.2501514268237202e-09,0.9999990463256836,10.0,1.0,1.8383980204816908e-05,1.4812945664743893e-05,1.9085365853658536,1.704268292682927
P19,T01,2,2,1,-21.03125,22.25,-21.03125,18.875,7.349267860945474e-10,1.0,5.0,1.0,3.6416920465853764e-06,3.6164050243314705e-07,2.0579494799405644,1.8974739970282317
P19,T01,2,3,1,-22.21875,21.65625,-22.21875,18.1875,2.241399982283454e-10,1.0,9.0,1.0,3.7715703911089804e-06,5.609347795143549e-07,1.9746835443037976,1.8185654008438819
P19,T01,2,4,1,-26.265625,23.28125,-26.265625,17.0625,3.917274057213538e-12,1.0,10.0,1.0,1.6488255596414092e-06,1.666386424403754e-06,1.8863771564544913,1.6496133254015466
P19,T01,2,5,1,-20.9375,17.5625,-20.9375,13.9375,8.071592283442897e-10,0.999998927116394,6.0,1.0,2.7617500109045068e-06,1.8414188161841594e-05,1.8388059701492536,1.6656716417910449
P19,T01,2,6,1,-20.5,21.65625,-20.5,17.5625,1.250151648868325e-09,1.0,10.0,1.0,1.4521120647259522e-05,1.2165190810264903e-06,2.0564024390243905,1.8567073170731707
P19,T01,2,7,1,-21.46875,9.875,-21.46875,9.625,4.745044357434836e-10,0.9997120499610901,6.0,1.0,1.8928003555629402e-06,0.003217490389943123,1.4599708879184863,1.4483260553129549
P19,T01,3,0,1,-18.0,22.0,-18.0,17.625,1.522993997582489e-08,1.0,8.0,1.0,3.799740079557523e-05,1.205420176120242e-06,2.2222222222222223,1.9791666666666667
P19,T01,3,1,1,-21.375,22.53125,-21.375,17.5,5.211411857608539e-10,1.0,9.0,1.0,2.3861107365519274e-06,9.244636771654768e-07,2.054093567251462,1.8187134502923976
P19,T01,3,2,1,-15.625,21.6875,-15.625,17.6875,1.637366295881293e-07,1.0,6.0,1.0,9.249348659068346e-05,5.996596996737935e-07,2.388,2.132
P19,T01,3,3,1,-21.875,20.21875,-21.875,16.9375,3.160880446273495e-10,0.9999998807907104,9.0,1.0,5.3523126553045586e-06,1.7221079815499252e-06,1.9242857142857144,1.7742857142857142
P19,T01,3,4,1,-19.875,18.75,-19.875,14.9375,2.3355912759370767e-09,0.9999994039535522,10.0,1.0,1.1310936315567233e-05,9.353078894491773e-06,1.9433962264150944,1.751572327044025
P19,T01,3,5,1,-14.8125,13.5,-14.8125,12.75,3.6898140365337895e-07,0.9999943971633911,5.0,1.0,0.00024600434699095786,8.21604480734095e-05,1.9113924050632911,1.860759493670886
P19,T01,3,6,1,-22.5625,21.5,-22.5625,17.8125,1.5893909799391537e-10,1.0,5.0,1.0,7.266592660926108e-07,9.730736110213911e-07,1.9529085872576177,1.7894736842105263
P19,T01,3,7,1,-17.5625,22.15625,-17.5625,19.0,2.3588635045257433e-08,1.0,5.0,1.0,1.3183824194129556e-05,2.0513668630428583e-07,2.2615658362989324,2.0818505338078293
P19,T01,4,0,1,-22.25,20.75,-22.25,17.4375,2.1724397281097652e-10,1.0,9.0,1.0,2.1948039830022026e-06,7.705249913669832e-07,1.9325842696629214,1.7837078651685394
P19,T01,4,1,1,-17.1875,21.15625,-17.1875,15.1875,3.43212320785824e-08,0.9999997615814209,7.0,1.0,2.5949284463422373e-05,5.433418209577212e-06,2.230909090909091,1.8836363636363636
P19,T01,4,2,1,-17.1875,21.0,-17.1875,15.8125,3.432125694757815e-08,0.9999997615814209,5.0,1.0,1.5701367374276742e-05,4.1615758163970895e-06,2.2218181818181817,1.92
