scope,metric,outcome,cell_count,spearman,permutation_p
P16,target_clean_robust_margin,semantic_gap_gain,10,-0.22424242424242424,0.5384646153538465
P19,target_clean_robust_margin,semantic_gap_gain,10,-0.5757575757575758,0.08729912700872991
P14,target_clean_robust_margin,semantic_gap_gain,10,0.3212121212121212,0.3699263007369926
within_pair_stratified,target_clean_robust_margin,semantic_gap_gain,30,-0.1595959595959596,0.41952580474195256
P16,target_adversarial_robust_margin,tasr_percent,10,0.9451395216446115,0.00010999890001099989
P19,target_adversarial_robust_margin,tasr_percent,10,0.9969650916353059,1.999980000199998e-05
P14,target_adversarial_robust_margin,tasr_percent,10,1.0,1.999980000199998e-05
within_pair_stratified,target_adversarial_robust_margin,tasr_percent,30,0.9807542771371709,9.99990000099999e-06
P16,target_adversarial_robust_margin,asr_percent,10,0.8773666603699838,0.0016799832001679984
P19,target_adversarial_robust_margin,asr_percent,10,0.9361745372672994,0.00023999760002399976
P14,target_adversarial_robust_margin,asr_percent,10,0.8875420937728943,0.0012499875001249989
within_pair_stratified,target_adversarial_robust_margin,asr_percent,30,0.9004232432012105,9.99990000099999e-06
P16,target_adversarial_robust_margin,conditional_tasr_percent,10,0.9451395216446115,0.00010999890001099989
P19,target_adversarial_robust_margin,conditional_tasr_percent,10,0.9969650916353059,1.999980000199998e-05
P14,target_adversarial_robust_margin,conditional_tasr_percent,10,0.9878787878787879,2.999970000299997e-05
within_pair_stratified,target_adversarial_robust_margin,conditional_tasr_percent,30,0.9767015735126371,9.99990000099999e-06
P16,target_adversarial_robust_margin,semantic_gap_gain,10,-0.05454545454545454,0.8915710842891571
P19,target_adversarial_robust_margin,semantic_gap_gain,10,-0.8424242424242424,0.0036299637003629963
P14,target_adversarial_robust_margin,semantic_gap_gain,10,-0.40606060606060607,0.24694753052469476
within_pair_stratified,target_adversarial_robust_margin,semantic_gap_gain,30,-0.43434343434343436,0.022949770502294978
P16,target_robust_margin_change,tasr_percent,10,0.871967429646319,0.0018899811001889982
P19,target_robust_margin_change,tasr_percent,10,0.8024353176576852,0.007499925000749992
P14,target_robust_margin_change,tasr_percent,10,0.9878787878787879,2.999970000299997e-05
within_pair_stratified,target_robust_margin_change,tasr_percent,30,0.8875420937728943,9.99990000099999e-06
P16,target_robust_margin_change,asr_percent,10,0.8773666603699838,0.001979980200197998
P19,target_robust_margin_change,asr_percent,10,0.9179373709568974,0.0004999950000499995
P14,target_robust_margin_change,asr_percent,10,0.9240164263936981,0.00037999620003799963
within_pair_stratified,target_robust_margin_change,asr_percent,30,0.9065209175344016,9.99990000099999e-06
P16,target_robust_margin_change,conditional_tasr_percent,10,0.871967429646319,0.0018899811001889982
P19,target_robust_margin_change,conditional_tasr_percent,10,0.8024353176576852,0.007499925000749992
P14,target_robust_margin_change,conditional_tasr_percent,10,0.9757575757575757,3.999960000399996e-05
within_pair_stratified,target_robust_margin_change,conditional_tasr_percent,30,0.8834893901483606,9.99990000099999e-06
P16,target_robust_margin_change,semantic_gap_gain,10,0.18787878787878787,0.6071039289607104
P19,target_robust_margin_change,semantic_gap_gain,10,-0.6727272727272727,0.038959610403895964
P14,target_robust_margin_change,semantic_gap_gain,10,-0.38181818181818183,0.2776772232277677
within_pair_stratified,target_robust_margin_change,semantic_gap_gain,30,-0.28888888888888886,0.13897861021389787
P16,target_clean_target_probability,tasr_percent,10,0.40244650599060877,0.24827751722482774
P19,target_clean_target_probability,tasr_percent,10,0.480245379507251,0.16309836901630984
P14,target_clean_target_probability,tasr_percent,10,0.6,0.07418925810741893
within_pair_stratified,target_clean_target_probability,tasr_percent,30,0.4944298421931192,0.008519914800851992
P16,target_clean_target_probability,asr_percent,10,0.23928181646454105,0.5075349246507534
