pair_id,transition_id,batch_index,image_index,generation_target_hit,clean_source_target_margin,adversarial_source_target_margin,clean_robust_margin,adversarial_robust_margin,clean_target_probability,adversarial_target_probability,clean_target_rank,adversarial_target_rank,clean_closedset_entropy,adversarial_closedset_entropy,source_target_gap_closure,robust_gap_closure
P14,T01,0,0,1,-11.125,5.75,-11.125,5.75,1.471965697419364e-05,0.9925360679626465,5.0,1.0,0.010852261446416378,0.05426575243473053,1.5168539325842696,1.5168539325842696
P14,T01,0,1,1,-10.125,6.25,-10.125,5.125,3.9963262679520994e-05,0.9887612462043762,9.0,1.0,0.02032800205051899,0.07435610145330429,1.617283950617284,1.5061728395061729
P14,T01,0,2,1,-10.875,5.625,-10.875,5.625,1.8889171769842505e-05,0.9913830161094666,6.0,1.0,0.01501718070358038,0.060803335160017014,1.5172413793103448,1.5172413793103448
P14,T01,0,3,1,-11.25,5.0,-11.25,4.875,1.2991288713237736e-05,0.972756564617157,6.0,1.0,0.010291805490851402,0.17252251505851746,1.4444444444444444,1.4333333333333333
P14,T01,0,4,1,-11.625,6.875,-11.625,5.625,8.928556781029329e-06,0.9939445853233337,9.0,1.0,0.010627880692481995,0.04386669024825096,1.5913978494623655,1.4838709677419355
P14,T01,0,5,1,-9.625,3.375,-9.625,3.375,6.580128683708608e-05,0.9405199885368347,4.0,1.0,0.028285501524806023,0.2940819263458252,1.3506493506493507,1.3506493506493507
P14,T01,0,6,1,-11.0,5.0,-11.0,5.0,1.6663501810398884e-05,0.9851455688476562,9.0,1.0,0.017836855724453926,0.09539671987295151,1.4545454545454546,1.4545454545454546
P14,T01,0,7,1,-10.75,6.375,-10.75,4.75,2.13931762118591e-05,0.9879927635192871,6.0,1.0,0.01835099793970585,0.07584637403488159,1.5930232558139534,1.441860465116279
P14,T01,1,0,0,-9.375,-0.75,-9.375,-0.75,8.466848521493375e-05,0.31535398960113525,4.0,2.0,0.014652756974101067,0.7318976521492004,0.92,0.92
P14,T01,1,1,1,-10.125,5.625,-10.125,4.375,3.995966471848078e-05,0.9822410941123962,5.0,1.0,0.02049122005701065,0.10541815310716629,1.5555555555555556,1.4320987654320987
P14,T01,1,2,1,-10.375,6.375,-10.375,5.125,3.1132491130847484e-05,0.9901267290115356,5.0,1.0,0.017493190243840218,0.06637482345104218,1.6144578313253013,1.4939759036144578
P14,T01,1,3,1,-10.125,6.0,-10.125,5.125,3.9915790694067255e-05,0.9867957830429077,6.0,1.0,0.027055565267801285,0.08750835806131363,1.5925925925925926,1.5061728395061729
P14,T01,1,4,0,-10.75,-3.125,-10.75,-3.125,2.1418760297819972e-05,0.04101332277059555,5.0,2.0,0.010501591488718987,0.3237719237804413,0.7093023255813954,0.7093023255813954
P14,T01,1,5,1,-11.625,4.625,-11.625,4.625,8.93141987035051e-06,0.9784871935844421,6.0,1.0,0.008043062873184681,0.12994658946990967,1.3978494623655915,1.3978494623655915
P14,T01,1,6,0,-10.875,-3.5,-10.875,-3.5,1.889956729428377e-05,0.023223288357257843,5.0,5.0,0.01131376251578331,0.9955165386199951,0.6781609195402298,0.6781609195402298
P14,T01,1,7,1,-10.375,7.0,-10.375,5.625,3.112160993623547e-05,0.9934448003768921,4.0,1.0,0.019745728000998497,0.04658259451389313,1.6746987951807228,1.5421686746987953
P14,T01,2,0,1,-11.375,7.375,-11.375,6.25,1.1463851478765719e-05,0.9956265687942505,9.0,1.0,0.011196207255125046,0.033188868314027786,1.6483516483516483,1.5494505494505495
P14,T01,2,1,0,-10.75,-0.375,-10.75,-0.375,2.1422736608656123e-05,0.3933839797973633,4.0,2.0,0.009228113107383251,0.8501262068748474,0.9651162790697675,0.9651162790697675
P14,T01,2,2,1,-11.125,4.75,-11.125,4.75,1.4718742022523656e-05,0.9830105304718018,7.0,1.0,0.011478816159069538,0.10677545517683029,1.4269662921348314,1.4269662921348314
P14,T01,2,3,0,-9.875,-6.75,-9.875,-6.75,5.131944271852262e-05,0.0011300102341920137,4.0,5.0,0.019105687737464905,0.19784417748451233,0.31645569620253167,0.31645569620253167
P14,T01,2,4,1,-10.75,7.75,-10.75,6.0,2.140340620826464e-05,0.9956462979316711,5.0,1.0,0.01533588021993637,0.03266085684299469,1.7209302325581395,1.558139534883721
P14,T01,2,5,1,-11.75,7.5,-11.75,6.625,7.8803495853208e-06,0.9966418743133545,6.0,1.0,0.009382589720189571,0.026687903329730034,1.6382978723404256,1.5638297872340425
P14,T01,2,6,1,-10.5,6.75,-10.5,5.5,2.750116073002573e-05,0.992506206035614,4.0,1.0,0.010856608860194683,0.05305324122309685,1.6428571428571428,1.5238095238095237
P14,T01,2,7,0,-10.75,-9.25,-10.75,-9.25,2.1385767468018457e-05,9.551651601213962e-05,7.0,5.0,0.0206130500882864,0.042066290974617004,0.13953488372093023,0.13953488372093023
P14,T01,3,0,1,-10.375,6.75,-10.375,5.75,3.114459468633868e-05,0.9938896894454956,5.0,1.0,0.015027791261672974,0.044644322246313095,1.6506024096385543,1.5542168674698795
P14,T01,3,1,1,-10.0,7.0,-10.0,4.875,4.526412158156745e-05,0.9889928698539734,6.0,1.0,0.022708110511302948,0.07110811769962311,1.7,1.4875
P14,T01,3,2,1,-10.75,7.5,-10.75,5.75,2.1412186470115557e-05,0.9952414035797119,5.0,1.0,0.012895344756543636,0.03484677895903587,1.697674418604651,1.5348837209302326
P14,T01,3,3,1,-10.5,6.25,-10.5,4.625,2.7484778911457397e-05,0.9844092726707458,4.0,1.0,0.01503896526992321,0.09888910502195358,1.5952380952380953,1.4404761904761905
P14,T01,3,4,1,-9.875,4.5,-9.875,4.5,5.133097874931991e-05,0.9700503349304199,5.0,1.0,0.017776671797037125,0.1741916537284851,1.4556962025316456,1.4556962025316456
P14,T01,3,5,1,-9.375,2.875,-9.375,2.875,8.440077363047749e-05,0.9117461442947388,10.0,1.0,0.03648943826556206,0.3950841426849365,1.3066666666666666,1.3066666666666666
P14,T01,3,6,1,-11.25,7.625,-11.25,6.25,1.2991705261811148e-05,0.9963094592094421,5.0,1.0,0.010013498365879059,0.02851054258644581,1.6777777777777778,1.5555555555555556
P14,T01,3,7,0,-11.375,-3.125,-11.375,-3.125,1.1468790034996346e-05,0.025084055960178375,8.0,8.0,0.007819420658051968,1.556699275970459,0.7252747252747253,0.7252747252747253
P14,T01,4,0,1,-11.25,1.875,-11.25,0.0,1.2992225492780562e-05,0.449390172958374,5.0,1.0,0.009606706909835339,1.067838430404663,1.1666666666666667,1.0
P14,T01,4,1,1,-11.875,0.3749999403953552,-11.875,0.3749999403953552,6.957063305890188e-06,0.43053916096687317,9.0,1.0,0.006742991507053375,1.5233886241912842,1.0315789423490827,1.0315789423490827
