pair_id,transition_id,arm,step,proxy_hits,proxy_denominator,targeted_hits,clean_valid_count,tasr_percent,untargeted_hits,asr_percent,linf_png
P19,T10,p19_diag_best_small_steps,10,1,8,0,8,0.0,1,12.5,0.0627451241016388
P19,T10,p19_diag_best_small_steps,20,7,8,1,8,12.5,1,12.5,0.0627451241016388
P19,T10,p19_diag_best_small_steps,30,8,8,2,8,25.0,2,25.0,0.0627451241016388
P19,T10,p19_diag_best_small_steps,40,8,8,2,8,25.0,2,25.0,0.0627451241016388
P19,T10,p19_diag_best_small_steps,50,8,8,2,8,25.0,2,25.0,0.0627451241016388
P19,T10,p19_diag_best_small_steps,75,8,8,2,8,25.0,2,25.0,0.0627451241016388
P19,T10,p19_diag_best_small_steps,100,8,8,2,8,25.0,2,25.0,0.0627451241016388
P19,T10,p19_diag_best_standard,10,5,8,1,8,12.5,1,12.5,0.0627451241016388
P19,T10,p19_diag_best_standard,20,7,8,1,8,12.5,2,25.0,0.0627451241016388
P19,T10,p19_diag_best_standard,30,8,8,1,8,12.5,2,25.0,0.0627451241016388
P19,T10,p19_diag_best_standard,40,8,8,1,8,12.5,1,12.5,0.0627451241016388
P19,T10,p19_diag_best_standard,50,8,8,1,8,12.5,1,12.5,0.0627451241016388
P19,T10,p19_diag_weaker_push,10,5,8,1,8,12.5,1,12.5,0.0627451241016388
P19,T10,p19_diag_weaker_push,20,8,8,2,8,25.0,2,25.0,0.0627451241016388
P19,T10,p19_diag_weaker_push,30,8,8,2,8,25.0,2,25.0,0.0627451241016388
P19,T10,p19_diag_weaker_push,40,8,8,1,8,12.5,1,12.5,0.0627451241016388
P19,T10,p19_diag_weaker_push,50,8,8,1,8,12.5,1,12.5,0.0627451241016388
