pair_id,exp_type,proxy_model,target_model,source_human_label,target_human_label,proxy_revision,target_revision,proxy_tap_status,proxy_tap_path,phase,batch_id,source_image_ids,target_reference_ids,lambda,effective_lambda,gradient_ratio,cka_source_weight,cka_target_weight,semantic_target_weight,target_cka_mode,target_alignment_temperature,seed,steps,clean_valid_count,targeted_hit_count,tasr_percent,untargeted_hit_count,asr_percent,proxy_target_nll,proxy_target_probability,proxy_target_hit_count,proxy_target_hit_denominator,proxy_target_all_hit,proxy_target_hit_mask,proxy_min_target_logit_margin,proxy_min_target_probability,proxy_free_target_hit_count,proxy_max_other_probability,proxy_target_probability_margin,proxy_classification_ce,proxy_margin_loss,loss_cka,loss_total,cka_clean_reference,cka_adv_source,cka_adv_reference,reference_cka_gain,source_cka_drop,source_repulsion_achieved,target_attraction_achieved,proxy_representation_shift,grad_ml_l1,grad_cka_weighted_l1,grad_component_cosine,linf_float,linf_png,elapsed_seconds,peak_allocated_vram_gb,peak_reserved_vram_gb,status,failure_reason
P20,Intra-Family,Qwen/Qwen3.5-4B,Qwen/Qwen3.5-2B,8,7,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,15852e8c16360a2fea060d615a32b45270f8a8fc,validated,model.model.visual.blocks.17,scale_50,00,train/n03930630/n03930630_13536.JPEG|train/n03930630/n03930630_1267.JPEG|train/n03930630/n03930630_19053.JPEG|train/n03930630/n03930630_13397.JPEG|train/n03930630/n03930630_3234.JPEG|train/n03930630/n03930630_5166.JPEG|train/n03930630/n03930630_884.JPEG|train/n03930630/n03930630_9548.JPEG,train/n03417042/n03417042_10046.JPEG|train/n03417042/n03417042_3868.JPEG|train/n03417042/n03417042_1031.JPEG|train/n03417042/n03417042_2103.JPEG|train/n03417042/n03417042_6187.JPEG|train/n03417042/n03417042_5236.JPEG|train/n03417042/n03417042_11994.JPEG|train/n03417042/n03417042_10754.JPEG|train/n03417042/n03417042_2667.JPEG|train/n03417042/n03417042_1258.JPEG|train/n03417042/n03417042_6228.JPEG|train/n03417042/n03417042_5505.JPEG|train/n03417042/n03417042_11027.JPEG|train/n03417042/n03417042_5665.JPEG|train/n03417042/n03417042_995.JPEG|train/n03417042/n03417042_6884.JPEG|train/n03417042/n03417042_4138.JPEG|train/n03417042/n03417042_3039.JPEG|train/n03417042/n03417042_7633.JPEG|train/n03417042/n03417042_1036.JPEG|train/n03417042/n03417042_5604.JPEG|train/n03417042/n03417042_2025.JPEG|train/n03417042/n03417042_10073.JPEG|train/n03417042/n03417042_55.JPEG|train/n03417042/n03417042_8579.JPEG|train/n03417042/n03417042_321.JPEG|train/n03417042/n03417042_3287.JPEG|train/n03417042/n03417042_6558.JPEG|train/n03417042/n03417042_3829.JPEG|train/n03417042/n03417042_3158.JPEG|train/n03417042/n03417042_2137.JPEG|train/n03417042/n03417042_10985.JPEG|train/n03417042/n03417042_5638.JPEG|train/n03417042/n03417042_4876.JPEG|train/n03417042/n03417042_2383.JPEG|train/n03417042/n03417042_5533.JPEG|train/n03417042/n03417042_9238.JPEG|train/n03417042/n03417042_11166.JPEG|train/n03417042/n03417042_9935.JPEG|train/n03417042/n03417042_5631.JPEG|train/n03417042/n03417042_10108.JPEG|train/n03417042/n03417042_11944.JPEG|train/n03417042/n03417042_4728.JPEG|train/n03417042/n03417042_7021.JPEG|train/n03417042/n03417042_7049.JPEG|train/n03417042/n03417042_3916.JPEG|train/n03417042/n03417042_10066.JPEG|train/n03417042/n03417042_4574.JPEG,1.0,20.637075424194336,0.25,0.0,0.0,1.0,spatial_index_legacy,0.07,42,20,8,8,100.0,8,100.0,0.028864547610282898,0.9717322587966919,8,8,True,1|1|1|1|1|1|1|1,3.875,0.9366158843040466,8,0.00807332992553711,0.9636589288711548,0.028792930766940117,0.005212708842009306,1.4579445123672485,30.092924118041992,nan,nan,nan,nan,nan,,,nan,0.005312740337103605,0.0013281852006912231,0.1982579529285431,0.0627451092004776,0.0627451241016388,167.33554121901398,11.899577617645264,12.29296875,ok,
P20,Intra-Family,Qwen/Qwen3.5-4B,Qwen/Qwen3.5-2B,8,7,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,15852e8c16360a2fea060d615a32b45270f8a8fc,validated,model.model.visual.blocks.17,scale_50,01,train/n03930630/n03930630_2245.JPEG|train/n03930630/n03930630_5214.JPEG|train/n03930630/n03930630_5162.JPEG|train/n03930630/n03930630_11039.JPEG|train/n03930630/n03930630_4403.JPEG|train/n03930630/n03930630_45.JPEG|train/n03930630/n03930630_5014.JPEG|train/n03930630/n03930630_1936.JPEG,train/n03417042/n03417042_10046.JPEG|train/n03417042/n03417042_3868.JPEG|train/n03417042/n03417042_1031.JPEG|train/n03417042/n03417042_2103.JPEG|train/n03417042/n03417042_6187.JPEG|train/n03417042/n03417042_5236.JPEG|train/n03417042/n03417042_11994.JPEG|train/n03417042/n03417042_10754.JPEG|train/n03417042/n03417042_2667.JPEG|train/n03417042/n03417042_1258.JPEG|train/n03417042/n03417042_6228.JPEG|train/n03417042/n03417042_5505.JPEG|train/n03417042/n03417042_11027.JPEG|train/n03417042/n03417042_5665.JPEG|train/n03417042/n03417042_995.JPEG|train/n03417042/n03417042_6884.JPEG|train/n03417042/n03417042_4138.JPEG|train/n03417042/n03417042_3039.JPEG|train/n03417042/n03417042_7633.JPEG|train/n03417042/n03417042_1036.JPEG|train/n03417042/n03417042_5604.JPEG|train/n03417042/n03417042_2025.JPEG|train/n03417042/n03417042_10073.JPEG|train/n03417042/n03417042_55.JPEG|train/n03417042/n03417042_8579.JPEG|train/n03417042/n03417042_321.JPEG|train/n03417042/n03417042_3287.JPEG|train/n03417042/n03417042_6558.JPEG|train/n03417042/n03417042_3829.JPEG|train/n03417042/n03417042_3158.JPEG|train/n03417042/n03417042_2137.JPEG|train/n03417042/n03417042_10985.JPEG|train/n03417042/n03417042_5638.JPEG|train/n03417042/n03417042_4876.JPEG|train/n03417042/n03417042_2383.JPEG|train/n03417042/n03417042_5533.JPEG|train/n03417042/n03417042_9238.JPEG|train/n03417042/n03417042_11166.JPEG|train/n03417042/n03417042_9935.JPEG|train/n03417042/n03417042_5631.JPEG|train/n03417042/n03417042_10108.JPEG|train/n03417042/n03417042_11944.JPEG|train/n03417042/n03417042_4728.JPEG|train/n03417042/n03417042_7021.JPEG|train/n03417042/n03417042_7049.JPEG|train/n03417042/n03417042_3916.JPEG|train/n03417042/n03417042_10066.JPEG|train/n03417042/n03417042_4574.JPEG,1.0,53.519527435302734,0.25,0.0,0.0,1.0,spatial_index_legacy,0.07,43,20,8,7,87.5,7,87.5,0.02485497295856476,0.9755914211273193,8,8,True,1|1|1|1|1|1|1|1,3.875,0.9496234655380249,8,0.008695589378476143,0.9668958187103271,0.024788126349449158,0.005661771632730961,1.336386799812317,71.52845001220703,nan,nan,nan,nan,nan,,,nan,0.01660033129155636,0.004150082357227802,0.1900780349969864,0.0627451092004776,0.0627451241016388,160.64201950197457,11.899577617645264,12.29296875,ok,
P20,Intra-Family,Qwen/Qwen3.5-4B,Qwen/Qwen3.5-2B,8,7,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,15852e8c16360a2fea060d615a32b45270f8a8fc,validated,model.model.visual.blocks.17,scale_50,02,train/n03930630/n03930630_13666.JPEG|train/n03930630/n03930630_6167.JPEG|train/n03930630/n03930630_9160.JPEG|train/n03930630/n03930630_3104.JPEG|train/n03930630/n03930630_13268.JPEG|train/n03930630/n03930630_12824.JPEG|train/n03930630/n03930630_1045.JPEG|train/n03930630/n03930630_594.JPEG,train/n03417042/n03417042_10046.JPEG|train/n03417042/n03417042_3868.JPEG|train/n03417042/n03417042_1031.JPEG|train/n03417042/n03417042_2103.JPEG|train/n03417042/n03417042_6187.JPEG|train/n03417042/n03417042_5236.JPEG|train/n03417042/n03417042_11994.JPEG|train/n03417042/n03417042_10754.JPEG|train/n03417042/n03417042_2667.JPEG|train/n03417042/n03417042_1258.JPEG|train/n03417042/n03417042_6228.JPEG|train/n03417042/n03417042_5505.JPEG|train/n03417042/n03417042_11027.JPEG|train/n03417042/n03417042_5665.JPEG|train/n03417042/n03417042_995.JPEG|train/n03417042/n03417042_6884.JPEG|train/n03417042/n03417042_4138.JPEG|train/n03417042/n03417042_3039.JPEG|train/n03417042/n03417042_7633.JPEG|train/n03417042/n03417042_1036.JPEG|train/n03417042/n03417042_5604.JPEG|train/n03417042/n03417042_2025.JPEG|train/n03417042/n03417042_10073.JPEG|train/n03417042/n03417042_55.JPEG|train/n03417042/n03417042_8579.JPEG|train/n03417042/n03417042_321.JPEG|train/n03417042/n03417042_3287.JPEG|train/n03417042/n03417042_6558.JPEG|train/n03417042/n03417042_3829.JPEG|train/n03417042/n03417042_3158.JPEG|train/n03417042/n03417042_2137.JPEG|train/n03417042/n03417042_10985.JPEG|train/n03417042/n03417042_5638.JPEG|train/n03417042/n03417042_4876.JPEG|train/n03417042/n03417042_2383.JPEG|train/n03417042/n03417042_5533.JPEG|train/n03417042/n03417042_9238.JPEG|train/n03417042/n03417042_11166.JPEG|train/n03417042/n03417042_9935.JPEG|train/n03417042/n03417042_5631.JPEG|train/n03417042/n03417042_10108.JPEG|train/n03417042/n03417042_11944.JPEG|train/n03417042/n03417042_4728.JPEG|train/n03417042/n03417042_7021.JPEG|train/n03417042/n03417042_7049.JPEG|train/n03417042/n03417042_3916.JPEG|train/n03417042/n03417042_10066.JPEG|train/n03417042/n03417042_4574.JPEG,1.0,26.95598793029785,0.25,0.0,0.0,1.0,spatial_index_legacy,0.07,44,20,8,6,75.0,8,100.0,0.05549127236008644,0.9466649293899536,7,8,False,1|1|1|0|1|1|1|1,3.375,0.8699780106544495,8,0.014134248718619347,0.9325307011604309,0.055381882935762405,0.015823153778910637,1.4510470628738403,39.13022994995117,nan,nan,nan,nan,nan,,,nan,0.007894236594438553,0.001973559148609638,-0.021626543253660202,0.0627451092004776,0.0627451241016388,160.2672026490036,11.899577617645264,12.29296875,proxy_target_not_reached,Frozen PNG proxy target criterion reached for 7/8 images
P20,Intra-Family,Qwen/Qwen3.5-4B,Qwen/Qwen3.5-2B,8,7,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,15852e8c16360a2fea060d615a32b45270f8a8fc,validated,model.model.visual.blocks.17,scale_50,03,train/n03930630/n03930630_8952.JPEG|train/n03930630/n03930630_3516.JPEG|train/n03930630/n03930630_13375.JPEG|train/n03930630/n03930630_13770.JPEG|train/n03930630/n03930630_1923.JPEG|train/n03930630/n03930630_13057.JPEG|train/n03930630/n03930630_830.JPEG|train/n03930630/n03930630_16782.JPEG,train/n03417042/n03417042_10046.JPEG|train/n03417042/n03417042_3868.JPEG|train/n03417042/n03417042_1031.JPEG|train/n03417042/n03417042_2103.JPEG|train/n03417042/n03417042_6187.JPEG|train/n03417042/n03417042_5236.JPEG|train/n03417042/n03417042_11994.JPEG|train/n03417042/n03417042_10754.JPEG|train/n03417042/n03417042_2667.JPEG|train/n03417042/n03417042_1258.JPEG|train/n03417042/n03417042_6228.JPEG|train/n03417042/n03417042_5505.JPEG|train/n03417042/n03417042_11027.JPEG|train/n03417042/n03417042_5665.JPEG|train/n03417042/n03417042_995.JPEG|train/n03417042/n03417042_6884.JPEG|train/n03417042/n03417042_4138.JPEG|train/n03417042/n03417042_3039.JPEG|train/n03417042/n03417042_7633.JPEG|train/n03417042/n03417042_1036.JPEG|train/n03417042/n03417042_5604.JPEG|train/n03417042/n03417042_2025.JPEG|train/n03417042/n03417042_10073.JPEG|train/n03417042/n03417042_55.JPEG|train/n03417042/n03417042_8579.JPEG|train/n03417042/n03417042_321.JPEG|train/n03417042/n03417042_3287.JPEG|train/n03417042/n03417042_6558.JPEG|train/n03417042/n03417042_3829.JPEG|train/n03417042/n03417042_3158.JPEG|train/n03417042/n03417042_2137.JPEG|train/n03417042/n03417042_10985.JPEG|train/n03417042/n03417042_5638.JPEG|train/n03417042/n03417042_4876.JPEG|train/n03417042/n03417042_2383.JPEG|train/n03417042/n03417042_5533.JPEG|train/n03417042/n03417042_9238.JPEG|train/n03417042/n03417042_11166.JPEG|train/n03417042/n03417042_9935.JPEG|train/n03417042/n03417042_5631.JPEG|train/n03417042/n03417042_10108.JPEG|train/n03417042/n03417042_11944.JPEG|train/n03417042/n03417042_4728.JPEG|train/n03417042/n03417042_7021.JPEG|train/n03417042/n03417042_7049.JPEG|train/n03417042/n03417042_3916.JPEG|train/n03417042/n03417042_10066.JPEG|train/n03417042/n03417042_4574.JPEG,1.0,22.296287536621094,0.25,0.0,0.0,1.0,spatial_index_legacy,0.07,45,20,8,7,87.5,7,87.5,0.03660101443529129,0.96424400806427,8,8,True,1|1|1|1|1|1|1|1,4.125,0.9378389120101929,8,0.010797450318932533,0.9534465670585632,0.03651151433587074,0.0074232215993106365,1.565693736076355,34.91658020019531,nan,nan,nan,nan,nan,,,nan,0.007797591388225555,0.0019493978470563889,-0.33728986978530884,0.0627451092004776,0.0627451241016388,160.15248891001102,11.899577617645264,12.29296875,ok,
P20,Intra-Family,Qwen/Qwen3.5-4B,Qwen/Qwen3.5-2B,8,7,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,15852e8c16360a2fea060d615a32b45270f8a8fc,validated,model.model.visual.blocks.17,scale_50,04,train/n03930630/n03930630_17225.JPEG|train/n03930630/n03930630_4793.JPEG|train/n03930630/n03930630_8830.JPEG|train/n03930630/n03930630_1276.JPEG|train/n03930630/n03930630_4619.JPEG|train/n03930630/n03930630_1708.JPEG|train/n03930630/n03930630_12329.JPEG|train/n03930630/n03930630_1112.JPEG,train/n03417042/n03417042_10046.JPEG|train/n03417042/n03417042_3868.JPEG|train/n03417042/n03417042_1031.JPEG|train/n03417042/n03417042_2103.JPEG|train/n03417042/n03417042_6187.JPEG|train/n03417042/n03417042_5236.JPEG|train/n03417042/n03417042_11994.JPEG|train/n03417042/n03417042_10754.JPEG|train/n03417042/n03417042_2667.JPEG|train/n03417042/n03417042_1258.JPEG|train/n03417042/n03417042_6228.JPEG|train/n03417042/n03417042_5505.JPEG|train/n03417042/n03417042_11027.JPEG|train/n03417042/n03417042_5665.JPEG|train/n03417042/n03417042_995.JPEG|train/n03417042/n03417042_6884.JPEG|train/n03417042/n03417042_4138.JPEG|train/n03417042/n03417042_3039.JPEG|train/n03417042/n03417042_7633.JPEG|train/n03417042/n03417042_1036.JPEG|train/n03417042/n03417042_5604.JPEG|train/n03417042/n03417042_2025.JPEG|train/n03417042/n03417042_10073.JPEG|train/n03417042/n03417042_55.JPEG|train/n03417042/n03417042_8579.JPEG|train/n03417042/n03417042_321.JPEG|train/n03417042/n03417042_3287.JPEG|train/n03417042/n03417042_6558.JPEG|train/n03417042/n03417042_3829.JPEG|train/n03417042/n03417042_3158.JPEG|train/n03417042/n03417042_2137.JPEG|train/n03417042/n03417042_10985.JPEG|train/n03417042/n03417042_5638.JPEG|train/n03417042/n03417042_4876.JPEG|train/n03417042/n03417042_2383.JPEG|train/n03417042/n03417042_5533.JPEG|train/n03417042/n03417042_9238.JPEG|train/n03417042/n03417042_11166.JPEG|train/n03417042/n03417042_9935.JPEG|train/n03417042/n03417042_5631.JPEG|train/n03417042/n03417042_10108.JPEG|train/n03417042/n03417042_11944.JPEG|train/n03417042/n03417042_4728.JPEG|train/n03417042/n03417042_7021.JPEG|train/n03417042/n03417042_7049.JPEG|train/n03417042/n03417042_3916.JPEG|train/n03417042/n03417042_10066.JPEG|train/n03417042/n03417042_4574.JPEG,1.0,31.244979858398438,0.25,0.0,0.0,1.0,spatial_index_legacy,0.07,46,20,8,6,75.0,7,87.5,0.02886052429676056,0.9717634916305542,8,8,True,1|1|1|1|1|1|1|1,3.75,0.9363943338394165,8,0.009589034132659435,0.9621744751930237,0.02878441847860813,0.007861539721488953,1.4452877044677734,45.16584777832031,nan,nan,nan,nan,nan,,,nan,0.012218541465699673,0.003054635366424918,0.33238062262535095,0.0627451092004776,0.0627451241016388,160.5518371190119,11.899577617645264,12.29296875,ok,
P20,Intra-Family,Qwen/Qwen3.5-4B,Qwen/Qwen3.5-2B,8,7,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,15852e8c16360a2fea060d615a32b45270f8a8fc,validated,model.model.visual.blocks.17,scale_50,05,train/n03930630/n03930630_10739.JPEG|train/n03930630/n03930630_15901.JPEG|train/n03930630/n03930630_15311.JPEG|train/n03930630/n03930630_1484.JPEG|train/n03930630/n03930630_3185.JPEG|train/n03930630/n03930630_15127.JPEG|train/n03930630/n03930630_9530.JPEG|train/n03930630/n03930630_11023.JPEG,train/n03417042/n03417042_10046.JPEG|train/n03417042/n03417042_3868.JPEG|train/n03417042/n03417042_1031.JPEG|train/n03417042/n03417042_2103.JPEG|train/n03417042/n03417042_6187.JPEG|train/n03417042/n03417042_5236.JPEG|train/n03417042/n03417042_11994.JPEG|train/n03417042/n03417042_10754.JPEG|train/n03417042/n03417042_2667.JPEG|train/n03417042/n03417042_1258.JPEG|train/n03417042/n03417042_6228.JPEG|train/n03417042/n03417042_5505.JPEG|train/n03417042/n03417042_11027.JPEG|train/n03417042/n03417042_5665.JPEG|train/n03417042/n03417042_995.JPEG|train/n03417042/n03417042_6884.JPEG|train/n03417042/n03417042_4138.JPEG|train/n03417042/n03417042_3039.JPEG|train/n03417042/n03417042_7633.JPEG|train/n03417042/n03417042_1036.JPEG|train/n03417042/n03417042_5604.JPEG|train/n03417042/n03417042_2025.JPEG|train/n03417042/n03417042_10073.JPEG|train/n03417042/n03417042_55.JPEG|train/n03417042/n03417042_8579.JPEG|train/n03417042/n03417042_321.JPEG|train/n03417042/n03417042_3287.JPEG|train/n03417042/n03417042_6558.JPEG|train/n03417042/n03417042_3829.JPEG|train/n03417042/n03417042_3158.JPEG|train/n03417042/n03417042_2137.JPEG|train/n03417042/n03417042_10985.JPEG|train/n03417042/n03417042_5638.JPEG|train/n03417042/n03417042_4876.JPEG|train/n03417042/n03417042_2383.JPEG|train/n03417042/n03417042_5533.JPEG|train/n03417042/n03417042_9238.JPEG|train/n03417042/n03417042_11166.JPEG|train/n03417042/n03417042_9935.JPEG|train/n03417042/n03417042_5631.JPEG|train/n03417042/n03417042_10108.JPEG|train/n03417042/n03417042_11944.JPEG|train/n03417042/n03417042_4728.JPEG|train/n03417042/n03417042_7021.JPEG|train/n03417042/n03417042_7049.JPEG|train/n03417042/n03417042_3916.JPEG|train/n03417042/n03417042_10066.JPEG|train/n03417042/n03417042_4574.JPEG,1.0,21.664461135864258,0.25,0.0,0.0,1.0,spatial_index_legacy,0.07,47,20,8,7,87.5,7,87.5,0.027273528277873993,0.9732797145843506,8,8,True,1|1|1|1|1|1|1|1,3.75,0.9433743357658386,8,0.00947200134396553,0.9638077020645142,0.027211712673306465,0.007460330612957478,1.4466840028762817,31.349088668823242,nan,nan,nan,nan,nan,,,nan,0.007632626686245203,0.0019081566715613008,-0.20040467381477356,0.0627451092004776,0.0627451241016388,160.18341400800273,11.899577617645264,12.29296875,ok,
P20,Intra-Family,Qwen/Qwen3.5-4B,Qwen/Qwen3.5-2B,8,7,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,15852e8c16360a2fea060d615a32b45270f8a8fc,validated,model.model.visual.blocks.17,scale_50,06,train/n03930630/n03930630_8379.JPEG|train/n03930630/n03930630_11535.JPEG,train/n03417042/n03417042_10046.JPEG|train/n03417042/n03417042_3868.JPEG|train/n03417042/n03417042_1031.JPEG|train/n03417042/n03417042_2103.JPEG|train/n03417042/n03417042_6187.JPEG|train/n03417042/n03417042_5236.JPEG|train/n03417042/n03417042_11994.JPEG|train/n03417042/n03417042_10754.JPEG|train/n03417042/n03417042_2667.JPEG|train/n03417042/n03417042_1258.JPEG|train/n03417042/n03417042_6228.JPEG|train/n03417042/n03417042_5505.JPEG|train/n03417042/n03417042_11027.JPEG|train/n03417042/n03417042_5665.JPEG|train/n03417042/n03417042_995.JPEG|train/n03417042/n03417042_6884.JPEG|train/n03417042/n03417042_4138.JPEG|train/n03417042/n03417042_3039.JPEG|train/n03417042/n03417042_7633.JPEG|train/n03417042/n03417042_1036.JPEG|train/n03417042/n03417042_5604.JPEG|train/n03417042/n03417042_2025.JPEG|train/n03417042/n03417042_10073.JPEG|train/n03417042/n03417042_55.JPEG|train/n03417042/n03417042_8579.JPEG|train/n03417042/n03417042_321.JPEG|train/n03417042/n03417042_3287.JPEG|train/n03417042/n03417042_6558.JPEG|train/n03417042/n03417042_3829.JPEG|train/n03417042/n03417042_3158.JPEG|train/n03417042/n03417042_2137.JPEG|train/n03417042/n03417042_10985.JPEG|train/n03417042/n03417042_5638.JPEG|train/n03417042/n03417042_4876.JPEG|train/n03417042/n03417042_2383.JPEG|train/n03417042/n03417042_5533.JPEG|train/n03417042/n03417042_9238.JPEG|train/n03417042/n03417042_11166.JPEG|train/n03417042/n03417042_9935.JPEG|train/n03417042/n03417042_5631.JPEG|train/n03417042/n03417042_10108.JPEG|train/n03417042/n03417042_11944.JPEG|train/n03417042/n03417042_4728.JPEG|train/n03417042/n03417042_7021.JPEG|train/n03417042/n03417042_7049.JPEG|train/n03417042/n03417042_3916.JPEG|train/n03417042/n03417042_10066.JPEG|train/n03417042/n03417042_4574.JPEG,1.0,17.277429580688477,0.25,0.0,0.0,1.0,spatial_index_legacy,0.07,48,20,2,1,50.0,1,50.0,0.08165241032838821,0.9237772226333618,1,2,False,1|0,3.125,0.8619964122772217,2,0.020950615406036377,0.9028266072273254,0.08152569085359573,0.05055901035666466,1.5797299146652222,27.34423065185547,nan,nan,nan,nan,nan,,,nan,0.02092944271862507,0.005232360679656267,-0.21240979433059692,0.0627451092004776,0.0627451241016388,89.31808610601001,10.816726207733154,10.978515625,proxy_target_not_reached,Frozen PNG proxy target criterion reached for 1/2 images
