pair_id,proxy_layer,target_layer,subset,image_count,true_cka,null_mean,null_std,z_score,empirical_p_value,null_exceedance_count,permutations_evaluated,exact_null
P20,vision_mid,vision_mid,global,50,0.9905766248703003,0.07731993348523974,0.02832171668559108,32.245809868216355,0.000999000999000999,0,1000,0
P20,vision_mid,vision_mid,class_7,5,0.9889552593231201,0.5692441921775081,0.140543497511979,2.986342837453854,0.008333333333333333,0,119,1
P20,vision_mid,vision_mid,class_8,5,0.9910562038421631,0.5658740298587734,0.138650626048903,3.066572334360936,0.008333333333333333,0,119,1
P20,vision_mid,vision_mid,classes_7_8,10,0.9861358404159546,0.3881181828826666,0.09070370148421934,6.593089893220415,0.000999000999000999,0,1000,0
P20,vision_mid,vision_final,global,50,0.3874182105064392,0.18278895184397698,0.021770332940843937,9.399454717504641,0.000999000999000999,0,1000,0
P20,vision_mid,vision_final,class_7,5,0.738841712474823,0.6939722534989109,0.08744635736423417,0.5131083824226148,0.2833333333333333,33,119,1
P20,vision_mid,vision_final,class_8,5,0.9511452317237854,0.6919093828241364,0.0907085174600691,2.857899744792627,0.008333333333333333,0,119,1
P20,vision_mid,vision_final,classes_7_8,10,0.5643121004104614,0.4493458323478699,0.0909518754575334,1.2640340562990453,0.1108891108891109,110,1000,0
P20,vision_mid,projected,global,50,0.24947665631771088,0.17556566312909128,0.022584930023097506,3.2725801281222107,0.008991008991008992,8,1000,0
P20,vision_mid,projected,class_7,5,0.6073764562606812,0.6163070427269495,0.11089522912061271,-0.08053174637977588,0.43333333333333335,51,119,1
P20,vision_mid,projected,class_8,5,0.8840952515602112,0.7403154473344818,0.06750631709831123,2.129871846161286,0.016666666666666666,1,119,1
P20,vision_mid,projected,classes_7_8,10,0.48426172137260437,0.4288485851585865,0.0932777545408543,0.5940659322984425,0.2057942057942058,205,1000,0
P20,vision_final,vision_mid,global,50,0.31934070587158203,0.1592015819400549,0.022289440776124176,7.1845285639944665,0.000999000999000999,0,1000,0
P20,vision_final,vision_mid,class_7,5,0.595865786075592,0.625640221754042,0.10470704375573792,-0.28435943381142703,0.525,62,119,1
P20,vision_final,vision_mid,class_8,5,0.8954048156738281,0.6430453973657945,0.09845244895084361,2.5632619705989677,0.008333333333333333,0,119,1
P20,vision_final,vision_mid,classes_7_8,10,0.4780259430408478,0.41266086873412133,0.09007391210756581,0.7256826397044663,0.18681318681318682,186,1000,0
P20,vision_final,vision_final,global,50,0.9384437203407288,0.3794694181978703,0.018110704589068084,30.864304555012424,0.000999000999000999,0,1000,0
P20,vision_final,vision_final,class_7,5,0.987011730670929,0.7562521545826888,0.10217581711335783,2.2584558911060775,0.008333333333333333,0,119,1
P20,vision_final,vision_final,class_8,5,0.9861986637115479,0.7847002008382011,0.07388683232262343,2.7271227705839793,0.008333333333333333,0,119,1
P20,vision_final,vision_final,classes_7_8,10,0.9833347797393799,0.46953716620802877,0.08012921400377589,6.412113483443625,0.000999000999000999,0,1000,0
P20,vision_final,projected,global,50,0.9126299023628235,0.36499743261933326,0.018041172160077196,30.35459475051908,0.000999000999000999,0,1000,0
P20,vision_final,projected,class_7,5,0.968661904335022,0.67039537880601,0.14572315990089507,2.046802483090953,0.008333333333333333,0,119,1
P20,vision_final,projected,class_8,5,0.9682992100715637,0.8390562369042084,0.052916690801909444,2.442385780531305,0.008333333333333333,0,119,1
P20,vision_final,projected,classes_7_8,10,0.9678383469581604,0.44824745136499405,0.0817155272353199,6.3585332331868445,0.000999000999000999,0,1000,0
P20,projected,vision_mid,global,50,0.2337729036808014,0.15701465272903442,0.021964707595198748,3.4946174730113646,0.007992007992007992,7,1000,0
P20,projected,vision_mid,class_7,5,0.5450278520584106,0.6022001241936403,0.11355891185461808,-0.5034591402955987,0.625,74,119,1
P20,projected,vision_mid,class_8,5,0.8615977764129639,0.6674439045561462,0.0815311827038575,2.3813449703291454,0.016666666666666666,1,119,1
P20,projected,vision_mid,classes_7_8,10,0.43798622488975525,0.3978353160917759,0.09379431509564241,0.42807401234325665,0.24575424575424576,245,1000,0
P20,projected,vision_final,global,50,0.9195470213890076,0.374353519320488,0.01804632086538619,30.210784022699603,0.000999000999000999,0,1000,0
P20,projected,vision_final,class_7,5,0.9773133993148804,0.7273988668658152,0.11457540524220741,2.181223203363381,0.016666666666666666,1,119,1
