pair_id,objective,image_id,target_hit,proxy_hit,local_cka,neighbor_indices
P21,semantic_only,val/n03930630/ILSVRC2012_val_00026503.JPEG,0,1,0.96967613697052,33|30|25|31|19|34|1|27
P21,semantic_only,val/n03930630/ILSVRC2012_val_00025354.JPEG,0,1,0.96967613697052,33|25|30|31|19|1|34|27
P21,semantic_only,val/n03930630/ILSVRC2012_val_00039508.JPEG,0,1,0.96967613697052,33|30|25|31|34|19|1|27
P21,semantic_only,val/n03930630/ILSVRC2012_val_00037136.JPEG,0,1,0.9696760773658752,33|30|25|31|19|1|34|27
P21,semantic_only,val/n03930630/ILSVRC2012_val_00017708.JPEG,0,1,0.9750314950942993,33|31|25|30|1|19|34|29
P21,semantic_only,val/n03930630/ILSVRC2012_val_00049612.JPEG,0,1,0.9696760773658752,33|31|30|25|19|1|34|27
P21,target_cka_semantic,val/n03930630/ILSVRC2012_val_00015879.JPEG,0,1,0.9696760773658752,33|30|25|31|19|1|34|27
P21,target_cka_semantic,val/n03930630/ILSVRC2012_val_00035897.JPEG,0,1,0.96967613697052,33|25|30|31|19|1|34|27
P21,target_cka_semantic,val/n03930630/ILSVRC2012_val_00026503.JPEG,0,1,0.9774543046951294,33|30|25|31|19|1|34|39
P21,target_cka_semantic,val/n03930630/ILSVRC2012_val_00025354.JPEG,0,1,0.96967613697052,33|25|30|31|19|1|34|27
P21,target_cka_semantic,val/n03930630/ILSVRC2012_val_00039508.JPEG,0,1,0.9696760773658752,33|30|31|25|19|34|1|27
P21,target_cka_semantic,val/n03930630/ILSVRC2012_val_00037136.JPEG,0,1,0.96967613697052,33|25|19|30|31|1|34|27
P21,target_cka_semantic,val/n03930630/ILSVRC2012_val_00017708.JPEG,0,1,0.9750314950942993,33|31|25|30|19|1|34|29
P21,target_cka_semantic,val/n03930630/ILSVRC2012_val_00049612.JPEG,0,1,0.96967613697052,33|25|19|30|1|31|27|34
P21,target_cka_only,val/n03930630/ILSVRC2012_val_00015879.JPEG,0,1,0.953161895275116,23|19|44|46|20|36|40|41
P21,target_cka_only,val/n03930630/ILSVRC2012_val_00035897.JPEG,0,1,0.9501705169677734,28|23|20|19|38|39|41|44
P21,target_cka_only,val/n03930630/ILSVRC2012_val_00026503.JPEG,0,1,0.9617419838905334,39|41|28|19|20|25|23|46
P21,target_cka_only,val/n03930630/ILSVRC2012_val_00025354.JPEG,0,1,0.9658342599868774,19|28|41|23|18|25|1|20
P21,target_cka_only,val/n03930630/ILSVRC2012_val_00039508.JPEG,0,1,0.950170636177063,19|28|39|41|44|23|38|20
P21,target_cka_only,val/n03930630/ILSVRC2012_val_00037136.JPEG,0,1,0.9751695394515991,28|43|19|41|23|39|42|20
P21,target_cka_only,val/n03930630/ILSVRC2012_val_00017708.JPEG,0,1,0.9263427257537842,46|19|14|41|29|47|18|1
P21,target_cka_only,val/n03930630/ILSVRC2012_val_00049612.JPEG,0,1,0.9680439233779907,19|41|43|28|42|23|25|18
P22,cls_only,val/n03930630/ILSVRC2012_val_00015879.JPEG,0,1,0.9975113868713379,36|39|17|20|40|19|15|13
P22,cls_only,val/n03930630/ILSVRC2012_val_00035897.JPEG,0,1,0.997744619846344,38|20|0|16|37|43|18|19
P22,cls_only,val/n03930630/ILSVRC2012_val_00026503.JPEG,0,1,0.9986807703971863,39|30|35|36|10|33|12|17
P22,cls_only,val/n03930630/ILSVRC2012_val_00025354.JPEG,0,1,0.9970554113388062,43|39|35|40|20|38|36|0
P22,cls_only,val/n03930630/ILSVRC2012_val_00039508.JPEG,0,1,0.9966174364089966,35|39|38|37|43|41|28|0
P22,cls_only,val/n03930630/ILSVRC2012_val_00037136.JPEG,0,1,0.9960916638374329,37|28|38|43|35|20|42|39
P22,cls_only,val/n03930630/ILSVRC2012_val_00017708.JPEG,0,1,0.9983934164047241,29|10|32|46|13|39|11|34
P22,cls_only,val/n03930630/ILSVRC2012_val_00049612.JPEG,0,1,0.9978029727935791,40|43|19|16|38|35|42|2
P22,semantic_only,val/n03930630/ILSVRC2012_val_00015879.JPEG,0,1,0.9983097314834595,36|39|0|40|30|19|31|33
P22,semantic_only,val/n03930630/ILSVRC2012_val_00035897.JPEG,0,1,0.996960461139679,38|0|40|19|39|43|33|16
P22,semantic_only,val/n03930630/ILSVRC2012_val_00026503.JPEG,0,1,0.9987921118736267,39|30|33|0|35|31|12|36
P22,semantic_only,val/n03930630/ILSVRC2012_val_00025354.JPEG,0,1,0.9979379177093506,0|39|40|35|43|19|30|33
P22,semantic_only,val/n03930630/ILSVRC2012_val_00039508.JPEG,0,1,0.9964760541915894,39|35|0|30|38|19|43|33
P22,semantic_only,val/n03930630/ILSVRC2012_val_00037136.JPEG,0,1,0.9971920847892761,43|0|19|40|35|42|38|18
P22,semantic_only,val/n03930630/ILSVRC2012_val_00017708.JPEG,0,1,0.998302161693573,31|0|33|30|40|39|1|29
P22,semantic_only,val/n03930630/ILSVRC2012_val_00049612.JPEG,0,1,0.9979450702667236,40|19|0|43|2|33|30|39
P22,target_cka_semantic,val/n03930630/ILSVRC2012_val_00015879.JPEG,0,1,0.9976720809936523,36|40|39|0|19|30|43|17
P22,target_cka_semantic,val/n03930630/ILSVRC2012_val_00035897.JPEG,0,1,0.9974338412284851,38|0|43|39|19|40|33|28
P22,target_cka_semantic,val/n03930630/ILSVRC2012_val_00026503.JPEG,0,1,0.9984654784202576,39|30|33|0|35|36|12|43
P22,target_cka_semantic,val/n03930630/ILSVRC2012_val_00025354.JPEG,0,1,0.9979294538497925,0|43|40|35|39|30|19|36
P22,target_cka_semantic,val/n03930630/ILSVRC2012_val_00039508.JPEG,0,1,0.9961425065994263,39|43|35|0|30|19|38|40
P22,target_cka_semantic,val/n03930630/ILSVRC2012_val_00037136.JPEG,0,1,0.9971919655799866,43|19|0|38|42|35|40|18
P22,target_cka_semantic,val/n03930630/ILSVRC2012_val_00017708.JPEG,0,1,0.9982458353042603,0|31|29|40|39|30|36|43
P22,target_cka_semantic,val/n03930630/ILSVRC2012_val_00049612.JPEG,0,1,0.9983602166175842,40|19|43|0|2|42|16|35
P22,target_cka_only,val/n03930630/ILSVRC2012_val_00015879.JPEG,0,1,0.9970959424972534,36|40|43|39|17|19|20|13
P22,target_cka_only,val/n03930630/ILSVRC2012_val_00035897.JPEG,0,1,0.9966168403625488,38|28|43|20|0|39|37|19
P22,target_cka_only,val/n03930630/ILSVRC2012_val_00026503.JPEG,0,1,0.9987777471542358,39|30|35|43|36|33|17|0
P22,target_cka_only,val/n03930630/ILSVRC2012_val_00025354.JPEG,0,1,0.9975305795669556,43|40|35|39|13|19|36|0
P22,target_cka_only,val/n03930630/ILSVRC2012_val_00039508.JPEG,0,1,0.9966174364089966,43|39|35|38|37|28|41|0
P22,target_cka_only,val/n03930630/ILSVRC2012_val_00037136.JPEG,0,1,0.9963560104370117,37|28|43|38|35|39|19|5
P22,target_cka_only,val/n03930630/ILSVRC2012_val_00017708.JPEG,0,1,0.996143639087677,29|32|10|13|39|46|40|19
P22,target_cka_only,val/n03930630/ILSVRC2012_val_00049612.JPEG,0,1,0.9983603358268738,40|43|19|16|2|42|35|0
