pair_id,transition_id,source_human_label,target_human_label,arm,semantic_mode,steps,step_size,rho,semantic_temperature,target_logit_weight,source_logit_weight,proxy_hits,proxy_denominator,tasr_hits,tasr_denominator,tasr_percent,asr_hits,asr_percent,semantic_gap_clean,semantic_gap_adversarial,semantic_gap_gain,effective_lambda,elapsed_seconds
P14,T01,1,4,multiclass_small_steps,multiclass_prototype,100,0.00196078431372549,0.25,0.1,1.0,1.0,7,8,6,8,75.0,6,75.0,-0.2496105432510376,0.32485467195510864,0.5744652152061462,5.3135085105896,398.6918377300026
P14,T01,1,4,pull_push_rho050_balanced,prototype,50,0.00392156862745098,0.5,0.1,1.0,1.0,6,8,6,8,75.0,6,75.0,-0.2496105432510376,0.35164231061935425,0.6012528538703918,6.728754997253418,206.78275284697884
P14,T01,1,4,pull_push_small_steps,prototype,100,0.00196078431372549,0.25,0.1,1.0,1.0,7,8,7,8,87.5,7,87.5,-0.2496105432510376,0.3792043924331665,0.6288149356842041,3.368135690689087,390.30772065601195
P14,T02,2,5,multiclass_small_steps,multiclass_prototype,100,0.00196078431372549,0.25,0.1,1.0,1.0,7,8,0,8,0.0,0,0.0,-0.2466515302658081,0.10552838444709778,0.3521799147129059,3.2926528453826904,391.4846065790043
P14,T02,2,5,multiclass_standard,multiclass_prototype,50,0.00392156862745098,0.25,0.1,1.0,1.0,5,8,0,8,0.0,0,0.0,-0.2466515302658081,0.0834914818406105,0.330143004655838,3.277413845062256,203.37219454199658
P14,T02,2,5,p14_rho050_push075,prototype,50,0.00392156862745098,0.5,0.1,1.0,0.75,5,8,1,8,12.5,1,12.5,-0.2466515302658081,0.14781922101974487,0.394470751285553,7.444651126861572,199.42089995698188
P14,T02,2,5,p14_rho050_push125,prototype,50,0.00392156862745098,0.5,0.1,1.0,1.25,6,8,0,8,0.0,0,0.0,-0.2466515302658081,0.2545771598815918,0.5012286901473999,4.435563564300537,200.7303408900043
P14,T02,2,5,p14_rho065_balanced,prototype,50,0.00392156862745098,0.65,0.1,1.0,1.0,4,8,0,8,0.0,1,12.5,-0.2466515302658081,0.197913259267807,0.4445647895336151,5.846531391143799,208.0465051549836
P14,T02,2,5,pull_push_rho010_balanced,prototype,50,0.00392156862745098,0.1,0.1,1.0,1.0,5,8,0,8,0.0,0,0.0,-0.2466515302658081,0.1347375363111496,0.3813890814781189,0.8952705264091492,201.1145350470033
P14,T02,2,5,pull_push_rho025_push050,prototype,50,0.00392156862745098,0.25,0.1,1.0,0.5,3,8,0,8,0.0,0,0.0,-0.2466515302658081,0.10100337117910385,0.34765490889549255,19.302091598510742,196.4556872000103
