pair_id,prompt_id,lambda_cka,alpha,status,proxy_hits,proxy_denominator,free_generation_hits,target_hits,target_denominator,tasr_percent,untargeted_hits,proxy_min_margin,proxy_min_probability,cka_adv_source,cka_adv_reference,reference_cka_gain,source_cka_drop,grad_ml_l1,grad_cka_weighted_l1,grad_component_cosine,elapsed_seconds,error
P02,original,0.5,1.0,complete,8,8,8,0,8,0.0,0,3.7238943576812744,0.9584835767745972,0.08137430250644684,0.11145675182342529,-0.025905638933181763,0.9186257123947144,0.011068930849432945,0.00018342171097174287,-0.20674045383930206,574.4429080799891,
P02,original,0.5,4.0,complete,8,8,8,0,8,0.0,2,3.766920328140259,0.9516621828079224,0.22263139486312866,0.18895748257637024,0.051595091819763184,0.7773686051368713,0.011039843782782555,0.00022553274175152183,-0.29393017292022705,460.21456477699394,
P02,original,0.0,1.0,complete,8,8,8,0,8,0.0,2,3.4834632873535156,0.9509182572364807,0.22488032281398773,0.12012188136577606,-0.017240509390830994,0.7751196622848511,0.0,0.0,0.0,413.87893984299444,
P02,original,3.0,1.0,complete,8,8,8,0,8,0.0,2,3.6665213108062744,0.9624482989311218,0.05368220433592796,0.12122984975576401,-0.016132541000843048,0.9463177919387817,0.011094038374722004,0.0011005301494151354,-0.20512881875038147,517.4282152149972,
P02,original,3.0,4.0,complete,8,8,8,0,8,0.0,3,3.4501452445983887,0.9537050127983093,0.27284908294677734,0.2542438507080078,0.11688145995140076,0.7271509170532227,0.011120935901999474,0.0013531965669244528,-0.29421544075012207,469.5043341690034,
P06,original,0.5,1.0,complete,8,8,8,0,8,0.0,0,4.843906402587891,0.9818320274353027,0.034359127283096313,0.039562568068504333,0.0054635703563690186,0.9656409025192261,0.011839830316603184,0.00029695124248974025,-0.02952955663204193,7.981755322005483,
P06,original,0.5,4.0,complete,8,8,8,0,8,0.0,0,5.37394905090332,0.985371470451355,0.04431377723813057,0.03708526864647865,0.002986270934343338,0.9556862115859985,0.011839836835861206,0.0003207104455213994,-0.04032107815146446,8.067032015998848,
P06,original,0.0,1.0,complete,8,8,8,0,8,0.0,0,4.73974609375,0.9744715690612793,0.12782469391822815,0.03364260867238045,-0.00045638903975486755,0.8721753358840942,0.0,0.0,0.0,6.736235440010205,
P06,original,3.0,1.0,complete,8,8,8,0,8,0.0,0,5.523826599121094,0.988289475440979,0.038170263171195984,0.039386339485645294,0.005287341773509979,0.9618297219276428,0.01183983962982893,0.0017817075131461024,-0.029529161751270294,8.123785592004424,
P06,original,3.0,4.0,complete,8,8,8,0,8,0.0,0,4.4451751708984375,0.9627529382705688,0.03996674716472626,0.048454172909259796,0.014355175197124481,0.9600332379341125,0.011839842423796654,0.0019242624985054135,-0.04031999781727791,8.164290656990488,
P11,original,0.5,1.0,complete,8,8,8,0,8,0.0,0,4.672829627990723,0.9542751312255859,0.292236328125,0.15183189511299133,-0.004862457513809204,0.707763671875,0.0,0.0,0.0,141.32147629400424,
P11,original,0.5,4.0,complete,8,8,8,0,8,0.0,0,4.466316223144531,0.950370192527771,0.3631124496459961,0.1924305558204651,0.03573620319366455,0.6368875503540039,0.0,0.0,0.0,128.2443973160116,
P11,original,0.0,1.0,complete,8,8,8,0,8,0.0,0,4.577492713928223,0.9539952278137207,0.45859020948410034,0.15694160759449005,0.0002472102642059326,0.5414097905158997,0.0,0.0,0.0,50.4500264130038,
P11,original,3.0,1.0,complete,8,8,8,0,8,0.0,0,4.610166549682617,0.950637936592102,0.19810357689857483,0.14337918162345886,-0.013315171003341675,0.8018964529037476,0.0,0.0,0.0,151.2067997700069,
P11,original,3.0,4.0,complete,8,8,8,0,8,0.0,0,4.7389020919799805,0.9507091641426086,0.2744467854499817,0.30666106939315796,0.14996671676635742,0.7255532145500183,0.0,0.0,0.0,376.83193071599817,
P14,compact,0.5,1.0,complete,7,8,7,,,,,4.073770523071289,0.9567385315895081,0.07241913676261902,0.1204373687505722,-0.0568498820066452,0.9275808334350586,0.02165715955197811,0.0003373475337866694,-0.07790496945381165,430.27431272399554,
P14,compact,0.5,2.0,complete,8,8,8,0,8,0.0,4,3.940419912338257,0.9518178701400757,0.15123064815998077,0.15625926852226257,-0.021027982234954834,0.8487693667411804,0.02163509652018547,0.00033970491494983435,-0.0772528424859047,384.58355072500126,
P14,compact,0.5,4.0,complete,7,8,7,,,,,4.079537868499756,0.9532592296600342,0.2809847593307495,0.20339109003543854,0.02610383927822113,0.7190152406692505,0.021609017625451088,0.0003671740705613047,-0.07339289039373398,301.7966464259953,
P14,compact,0.0,1.0,complete,7,8,7,,,,,4.107292652130127,0.9503974318504333,0.19293925166130066,0.10698957741260529,-0.07029767334461212,0.807060718536377,0.0,0.0,0.0,358.40286293700046,
P14,compact,1.5,1.0,complete,6,8,6,,,,,4.057639122009277,0.9537206292152405,0.07535146176815033,0.09615980833768845,-0.08112744241952896,0.9246485233306885,0.021622270345687866,0.0010120426304638386,-0.08083941042423248,315.02238070800377,
P14,compact,1.5,2.0,complete,6,8,6,,,,,4.088772296905518,0.9589163661003113,0.15935875475406647,0.1850508749485016,0.00776362419128418,0.8406412601470947,0.021645700559020042,0.001019114744849503,-0.07977248728275299,400.62414418600383,
P14,compact,1.5,4.0,complete,7,8,7,,,,,3.8534913063049316,0.9508119821548462,0.32583677768707275,0.2634460926055908,0.08615884184837341,0.6741632223129272,0.021623503416776657,0.0011015222407877445,-0.07199488580226898,432.6290648849972,
P14,compact,3.0,1.0,complete,7,8,7,,,,,3.985477924346924,0.9513865113258362,0.05356352776288986,0.10693755000829697,-0.07034970074892044,0.9464364647865295,0.021573515608906746,0.002024085260927677,-0.08260941505432129,347.82786649301124,
P14,compact,3.0,2.0,complete,6,8,6,,,,,3.881049633026123,0.9549927115440369,0.1501377522945404,0.19282123446464539,0.015533983707427979,0.8498622179031372,0.021620655432343483,0.002038229489699006,-0.0786597728729248,388.30478387999756,
P14,compact,3.0,4.0,complete,7,8,7,,,,,4.020016193389893,0.950132429599762,0.3389616012573242,0.2899327278137207,0.1126454770565033,0.6610383987426758,0.021624630317091942,0.002203044481575489,-0.07098403573036194,420.80275580599846,
P14,compact,6.0,1.0,complete,6,8,6,,,,,4.210536956787109,0.9514815807342529,0.042745113372802734,0.12557010352611542,-0.05171714723110199,0.9572548866271973,0.021623363718390465,0.004048170521855354,-0.07985207438468933,420.7466294379992,
P14,compact,6.0,2.0,complete,7,8,7,,,,,3.8157854080200195,0.9511979222297668,0.12869641184806824,0.1898563802242279,0.012569129467010498,0.8713035583496094,0.02159610204398632,0.004076458979398012,-0.08058634400367737,391.6060229619907,
P14,compact,6.0,4.0,complete,7,8,7,,,,,3.8833234310150146,0.9586822986602783,0.31612128019332886,0.303688645362854,0.1264013946056366,0.6838787198066711,0.02163832075893879,0.004406088963150978,-0.06985108554363251,548.4502601910062,
P14,original,0.5,1.0,complete,8,8,8,0,8,0.0,6,3.918611764907837,0.9599687457084656,0.08326530456542969,0.10997577011585236,-0.06731148064136505,0.9167346954345703,0.036717794835567474,0.0003373475337866694,0.11379554867744446,414.813714007003,
P14,original,0.5,2.0,complete,8,8,8,0,8,0.0,5,4.0,0.9502013325691223,0.1425536870956421,0.1485716551542282,-0.028715595602989197,0.8574463129043579,0.03654506430029869,0.00033970491494983435,0.09033787995576859,460.7785343419964,
P14,original,0.5,4.0,complete,8,8,8,1,8,12.5,8,4.245168685913086,0.9505589008331299,0.24236789345741272,0.20675718784332275,0.029469937086105347,0.7576321363449097,0.036612290889024734,0.0003671740705613047,0.05760517343878746,441.3743092920049,
P14,original,0.0,1.0,complete,8,8,8,0,8,0.0,7,3.8662335872650146,0.9529240727424622,0.17408813536167145,0.09612292051315308,-0.08116433024406433,0.8259118795394897,0.0,0.0,0.0,507.64238155099156,
P14,original,1.5,1.0,complete,8,8,8,1,8,12.5,6,4.125,0.9521050453186035,0.04927149415016174,0.11263175308704376,-0.06465549767017365,0.9507285356521606,0.036668043583631516,0.0010120426304638386,0.1122758612036705,479.52219146100106,
P14,original,1.5,2.0,complete,8,8,8,0,8,0.0,8,4.119531631469727,0.9534685611724854,0.13097445666790009,0.1726454794406891,-0.00464177131652832,0.8690255284309387,0.03677264228463173,0.001019114744849503,0.09356269240379333,369.1283196879958,
P14,original,1.5,4.0,complete,8,8,8,0,8,0.0,4,3.784193277359009,0.9578999876976013,0.27536606788635254,0.24353480339050293,0.06624755263328552,0.7246339321136475,0.036888062953948975,0.0011015222407877445,0.06162174046039581,503.73716598699684,
P14,original,3.0,1.0,complete,8,8,8,0,8,0.0,6,4.2652435302734375,0.9625113606452942,0.05112195387482643,0.12546810507774353,-0.05181914567947388,0.9488780498504639,0.036701712757349014,0.002024085260927677,0.11366136372089386,477.56432002301153,
P14,original,3.0,2.0,complete,8,8,8,1,8,12.5,7,3.821852207183838,0.951017439365387,0.107980877161026,0.19067545235157013,0.013388201594352722,0.8920191526412964,0.03677760437130928,0.002038229489699006,0.09360824525356293,568.8701227999991,
P14,original,3.0,4.0,complete,8,8,8,1,8,12.5,8,3.975914478302002,0.9544627666473389,0.3270951211452484,0.27359962463378906,0.09631237387657166,0.6729048490524292,0.03673447668552399,0.002203044481575489,0.06125286594033241,510.0368836730049,
P14,original,6.0,1.0,complete,8,8,8,1,8,12.5,6,4.172126293182373,0.9639683961868286,0.039797551929950714,0.11734506487846375,-0.05994218587875366,0.9602024555206299,0.03678442910313606,0.004048170521855354,0.1141422688961029,484.45643010099593,
P14,original,6.0,2.0,complete,8,8,8,1,8,12.5,8,4.121315002441406,0.9588823914527893,0.11934822797775269,0.2083890736103058,0.03110182285308838,0.8806517720222473,0.036612965166568756,0.004076458979398012,0.09012144804000854,485.37553785899945,
P14,original,6.0,4.0,complete,8,8,8,0,8,0.0,6,4.05190896987915,0.9378369450569153,0.3129909932613373,0.3105212450027466,0.13323399424552917,0.6870089769363403,0.0368158183991909,0.004406088963150978,0.06201618164777756,659.5325845999905,
P14,question,0.5,1.0,complete,8,8,8,0,0,0.0,0,4.25,0.9501988291740417,0.09555377811193466,0.13419365882873535,-0.043093591928482056,0.9044462442398071,0.016358304768800735,0.0003373475337866694,-0.20816120505332947,543.3637598719943,
P14,question,0.5,2.0,complete,7,8,7,,,,,4.240209102630615,0.955100417137146,0.23389039933681488,0.20663213729858398,0.029344886541366577,0.7661095857620239,0.016326306387782097,0.00033970491494983435,-0.2002885639667511,367.5024458669941,
