pair_id,transition_id,source_label,source_name,target_label,target_name,proxy_selected_distance,proxy_projected_distance,target_projected_distance,prototype_distance_abs_gap,prototype_distance_ratio_target_proxy,proxy_distance_percentile,target_distance_percentile,proxy_source_dispersion,proxy_target_dispersion,target_source_dispersion,target_target_dispersion,proxy_source_effective_rank,proxy_target_effective_rank,target_source_effective_rank,target_target_effective_rank,proxy_normalized_separation,target_normalized_separation,source_class_cka,source_class_cka_normalized,target_class_cka,target_class_cka_normalized,transition_cka,transition_null_mean,transition_cka_normalized,transition_cka_z_score,transition_cka_empirical_p,transition_rsa,proxy_hits,tasr_hits,tasr_percent,asr_hits,asr_percent,conditional_tasr_percent,semantic_gap_gain,perturbation_mean_abs,perturbation_rms,perturbation_l2,perturbation_linf,perturbation_nonzero_fraction,perturbation_saturation_fraction,perturbation_total_variation,target_output_entropy_normalized,target_output_distinct_labels,proxy_mean_target_probability,proxy_min_target_margin_across_batches,mean_effective_lambda
P16,T01,1,goldfish,4,acoustic guitar,0.27266138792037964,0.131894052028656,0.2015199065208435,0.0696258544921875,1.5278923000793108,0.5333333611488342,0.644444465637207,0.06724458932876587,0.0695914626121521,0.09331005811691284,0.1046302318572998,17.27889633178711,15.869023323059082,20.232864379882812,17.64396858215332,1.9277675752528174,2.036168650122693,0.9176135659217834,0.8966638952840802,0.956394612789154,0.9475508955239899,0.9699326157569885,0.07221901310235262,0.9675921530322021,67.85909323584012,0.000999000999000999,0.9404917579284467,50,27,54.0,30,60.0,54.0,0.6515734791755676,0.05275329038500786,0.055739626362919806,21.625531845092773,0.0627451241016388,0.9870677864551545,0.6926146697998047,0.09802379131317139,0.4056215734245731,5,0.9999979478972298,13.0,3241.2657296316966
P16,T02,2,monarch butterfly,5,laptop,0.2529165744781494,0.13262736797332764,0.19716036319732666,0.06453299522399902,1.4865737457519106,0.5555555820465088,0.5777778029441833,0.04460030794143677,0.0894472599029541,0.060125112533569336,0.11762374639511108,19.22629737854004,20.493186950683594,20.262582778930664,22.06098175048828,1.9788105089275194,2.2184149522606487,0.9263045191764832,0.9021678590604761,0.9365100860595703,0.9135955953337183,0.9687362909317017,0.07357007213309408,0.966253563137492,72.01783603666611,0.000999000999000999,0.9374075364547672,47,0,0.0,2,4.0,0.0,0.5378438770771027,0.050111154913902285,0.05380447641015053,20.87478858947754,0.0627451241016388,0.9816107285022736,0.6211288225650787,0.09590716764330864,0.08497841645545509,3,0.9704254865646362,-0.375,3921.232003348214
P16,T03,3,pineapple,6,espresso,0.2633678913116455,0.13702207803726196,0.19737815856933594,0.060356080532073975,1.4404843467317776,0.6000000238418579,0.6000000238418579,0.06982588768005371,0.0696709156036377,0.08741122484207153,0.09684115648269653,16.138290405273438,22.443622589111328,17.351163864135742,23.395490646362305,1.964519255091507,2.1424760662542757,0.9297006130218506,0.912069740318639,0.9334805607795715,0.9037906401362541,0.9706893563270569,0.07270863891392947,0.9683911175031182,70.53899956907622,0.000999000999000999,0.9370324936455982,50,13,26.0,20,40.0,26.0,0.5915301418304444,0.051351696401834485,0.05474883303046227,21.241156311035155,0.0627451241016388,0.9826812279224396,0.6585544228553772,0.09678359568119049,0.4824035047947047,6,0.9997014914240155,6.75,2245.964861188616
P16,T04,4,acoustic guitar,7,volcano,0.31116676330566406,0.20372068881988525,0.26921939849853516,0.0654987096786499,1.3215123120684076,1.0,0.9777777791023254,0.0695914626121521,0.08410882949829102,0.1046302318572998,0.1255156397819519,15.869023323059082,22.111366271972656,17.64396858215332,22.6608943939209,2.6508822595275148,2.339554445021984,0.956394612789154,0.9475508955239899,0.9429071545600891,0.9203519722529304,0.9796653985977173,0.06742064381018281,0.9781953125304397,67.45035198289312,0.000999000999000999,0.9610809989967479,50,3,6.0,4,8.0,6.0,0.7067804121971131,0.04684891238808632,0.052124943509697916,20.223139419555665,0.0627451241016388,0.9107641100883483,0.5958886069059371,0.08524984583258628,0.1406055239057909,3,0.9999970623425075,10.5,1246.3162841796875
P16,T05,5,laptop,8,rocking chair,0.1616383194923401,0.0863722562789917,0.1162724494934082,0.029900193214416504,1.3461782116451335,0.1111111119389534,0.04444444552063942,0.0894472599029541,0.08217519521713257,0.11762374639511108,0.1116219162940979,20.493186950683594,22.23690414428711,22.06098175048828,21.06147003173828,1.006537940720587,1.0143917065165164,0.9365100860595703,0.9135955953337183,0.9392741918563843,0.9173277803917902,0.9505062103271484,0.12588510181009768,0.9433783936467137,62.534158225496256,0.000999000999000999,0.9084811341119144,50,19,38.0,20,40.0,38.0,0.3647341454029083,0.05146122679114342,0.05507726170122623,21.368536987304687,0.0627451241016388,0.9594840836524964,0.6792992663383484,0.09398466914892196,0.32677088314214636,3,0.9999879854066032,10.5,5832.33447265625
P16,T06,6,espresso,9,soccer ball,0.1729567050933838,0.08614635467529297,0.13025790452957153,0.044111549854278564,1.5120535862549955,0.08888889104127884,0.13333334028720856,0.0696709156036377,0.1027367115020752,0.09684115648269653,0.1548812985420227,22.443622589111328,19.568815231323242,23.395490646362305,22.064970016479492,0.999333453182692,1.0349327358719758,0.9334805607795715,0.9037906401362541,0.9441647529602051,0.9274440190247337,0.9494631886482239,0.13666888143122197,0.9414630027056646,64.24478758805738,0.000999000999000999,0.9020035987418298,50,12,24.0,16,32.0,24.0,0.41137129068374634,0.05122318401932716,0.054660929068922996,21.207036781311036,0.0627451241016388,0.9824678468704223,0.6552637320756912,0.09515173986554146,0.38651964186929605,5,0.9999701040131705,9.875,6073.029331752232
P16,T07,7,volcano,10,school bus,0.2751736640930176,0.17673027515411377,0.26011955738067627,0.0833892822265625,1.4718449182170101,0.8666666746139526,0.9111111164093018,0.08410882949829102,0.07929211854934692,0.1255156397819519,0.09359115362167358,22.111366271972656,20.472856521606445,22.6608943939209,22.959238052368164,2.1631487119963317,2.3743632348404597,0.9429071545600891,0.9203519722529304,0.9145529270172119,0.8800504170856521,0.9767942428588867,0.07414215705543757,0.9749359393367446,67.07419656682728,0.000999000999000999,0.9371533299228878,50,24,48.0,31,62.0,48.0,0.6130569887161255,0.051004714593291284,0.054455415904521944,21.1273152923584,0.0627451241016388,0.9830590987205505,0.6487980979681015,0.09419565111398696,0.5023774406461359,6,0.9999700018337795,9.125,2037.6122523716517
P16,T08,8,rocking chair,1,goldfish,0.24164462089538574,0.13125324249267578,0.2033076286315918,0.07205438613891602,1.548972236955874,0.5111111402511597,0.6888889074325562,0.08217519521713257,0.06724458932876587,0.1116219162940979,0.09331005811691284,22.23690414428711,17.27889633178711,21.06147003173828,20.232864379882812,1.7568388669755806,1.9841474637221699,0.9392741918563843,0.9173277803917902,0.9176135659217834,0.8966638952840802,0.9650812149047852,0.08357810858637095,0.9618966052400267,66.38339900585329,0.000999000999000999,0.9283495850457179,50,13,26.0,15,30.0,26.0,0.5416159272193909,0.049742788672447205,0.05401451513171196,20.95621799468994,0.0627451241016388,0.9394351875782013,0.6519440889358521,0.09023948401212692,0.32849710169104823,4,0.9996762020247323,6.875,3262.1673758370534
P16,T09,9,soccer ball,2,monarch butterfly,0.23270690441131592,0.12452632188796997,0.18327927589416504,0.05875295400619507,1.471811526394011,0.4888888895511627,0.46666666865348816,0.1027367115020752,0.04460030794143677,0.1548812985420227,0.060125112533569336,19.568815231323242,19.22629737854004,22.064970016479492,20.262582778930664,1.6903602686996466,1.7048726591666854,0.9441647529602051,0.9274440190247337,0.9263045191764832,0.9021678590604761,0.9649773836135864,0.08916093742102385,0.9615490619306011,64.26742053241463,0.000999000999000999,0.9303875529696168,50,19,38.0,20,40.0,38.0,0.5045293712615967,0.05070106916129589,0.05442540340125561,21.115651969909667,0.0627451241016388,0.9688097929954529,0.6531986057758331,0.09360074251890182,0.32677088314214636,3,0.999994329043797,9.625,2896.5621163504466
P16,T10,10,school bus,3,pineapple,0.2419494390487671,0.14891624450683594,0.20989930629730225,0.06098306179046631,1.409512487992315,0.7333333492279053,0.7111111283302307,0.07929211854934692,0.06982588768005371,0.09359115362167358,0.08741122484207153,20.472856521606445,16.138290405273438,22.959238052368164,17.351163864135742,1.9972939321324574,2.3192988741785534,0.9145529270172119,0.8800504170856521,0.9297006130218506,0.912069740318639,0.9660249948501587,0.07300245084613562,0.9633494121091769,64.80669087181411,0.000999000999000999,0.92804858254679,49,1,2.0,1,2.0,2.0408163265306123,0.557568507194519,0.05043380230665207,0.0542033551633358,21.02952220916748,0.0627451241016388,0.9696231925487518,0.6431208795309067,0.09489622175693511,0.04257784590807542,2,0.9999403953552246,7.625,2143.1802106584823
